LR = 0.2	epoch = 300
0.31057733	6	5
0.30909336	6	6
0.30991834	6	5
0.30886024	6	7
0.31138718	6	5
0.30902225	6	7
0.3096332	6	6
0.30991352	6	6
0.30915368	6	6
0.3105945	6	5
0.3089109	6	7
0.30949432	6	6
0.30993623	6	5
0.308793	6	7
0.3092137	6	6
0.3094632	6	6
0.30945086	6	6
0.3102299	6	5
0.30906665	6	7
0.30937314	6	6
0.30891222	6	7
0.3105061	6	5
0.31045777	6	5
0.30886024	6	7
0.309848	6	5
0.3089344	6	7
0.30879307	6	7
0.30881888	6	7
0.30920792	6	6
0.30887246	6	7
0.30939764	6	6
0.30892265	6	7
0.30949605	6	6
0.30897892	6	7
0.3090198	6	7
0.30974257	6	6
0.30952984	6	6
0.30891222	6	7
0.30912584	6	6
0.30945086	6	6
0.3088435	6	7
0.3090697	6	6
0.30912983	6	6
0.3089109	6	7
0.30878168	6	7
0.30897427	6	7
0.3098349	6	5
0.3092909	6	6
0.3087908	6	7
0.30947417	6	6
0.31010383	6	5
0.30884027	6	7
0.308855	6	7
0.30914313	6	6
0.3093614	6	6
0.3089345	6	7
0.31115168	6	5
0.30893224	6	7
0.30889857	6	7
0.3092777	6	6
0.30897427	6	7
0.30882353	6	7
0.30924654	6	6
0.30999798	6	6
0.30948508	6	6
0.30915368	6	6
0.3088776	6	7
0.30892265	6	7
0.3091045	6	6
0.3102665	6	5
0.30974257	6	6
0.30949432	6	6
0.30936515	6	6
0.30920792	6	6
0.30909336	6	6
0.3092137	6	6
0.30911112	6	6
0.309763	6	6
0.31207335	6	5
0.30911374	6	6
0.30884713	6	7
0.30941117	6	6
0.30886889	6	7
0.30902225	6	7
0.30886978	6	7
0.30879736	6	7
0.3087963	6	7
0.3111902	6	5
0.309848	6	5
0.30948508	6	6
0.3100248	6	5
0.30893672	6	7
0.30894744	6	7
0.30881888	6	7
0.30990094	6	5
0.30879736	6	7
0.3087831	6	7
0.30924654	6	6
0.31153685	6	5
0.30915475	6	6
0.30979693	6	5
0.30984312	6	5
0.3087871	6	7
0.31094092	6	5
0.30922008	6	6
0.31034142	6	5
0.31014752	6	5
0.31153685	6	5
0.31034142	6	5
0.30969173	6	6
0.30941182	6	6

39.6396

================================================================================================================================================================================================================================================================================================

LR = 0.4	epoch = 100

0.14183956	6	7
0.14183956	6	6
0.14183924	6	5
0.14183962	6	7
0.1418395	6	6
0.14183682	6	5
0.14183897	6	5
0.14183968	6	6
0.14183944	6	6
0.14183944	6	6
0.1418395	6	6
0.14183968	6	6
0.1418395	6	6
0.14183784	6	5
0.14183944	6	6
0.1418396	6	5
0.14183962	6	6
0.14183682	6	5
0.1418393	6	5
0.14183962	6	7
0.14183944	6	6
0.14183944	6	6
0.14183801	6	5
0.14183962	6	7
0.14183927	6	6
0.14183956	6	6
0.14183956	6	7
0.14183956	6	6
0.14183891	6	5
0.14183724	6	5
0.14183903	6	5
0.1418395	6	6
0.14183968	6	7
0.14183939	6	6
0.14183968	6	6
0.14183962	6	7
0.14183944	6	6
0.14183971	6	6
0.14183944	6	6
0.14183962	6	6
0.14183897	6	5
0.14183956	6	7
0.14183816	6	5
0.14183962	6	7
0.14183956	6	6
0.14183962	6	7
0.14183903	6	6
0.14183956	6	7
0.14183939	6	5
0.14183956	6	6
0.14183962	6	7
0.14183956	6	7
0.14183968	6	7
0.14183968	6	7
0.1418395	6	6
0.14183962	6	7
0.14183962	6	7
0.14183736	6	5
0.14183927	6	5
0.14183956	6	7
0.14183956	6	7
0.14183849	6	5
0.14183965	6	6
0.1418395	6	6
0.14183962	6	7
0.14183962	6	7
0.14183956	6	6
0.14183956	6	7
0.14183956	6	7
0.14183956	6	7
0.14183956	6	7
0.1418395	6	5
0.14183816	6	5
0.14183956	6	7
0.1418393	6	5
0.14183956	6	6
0.14183962	6	7
0.14183965	6	6
0.14183736	6	5
0.14183939	6	6
0.14183962	6	7
0.14183953	6	7
0.14183924	6	5
0.14183944	6	6
0.14183965	6	6
0.14183962	6	7
0.14183956	6	7
0.14183971	6	6
0.14183944	6	6
0.14183879	6	5
0.14183667	6	5
0.14183962	6	7
0.14183944	6	6
0.14183936	6	5
0.14183944	6	6
0.14183962	6	7
0.14183778	6	5
0.14183977	6	5
0.14183903	6	5
0.14183784	6	5
0.14183968	6	7
0.14183962	6	6
0.14183736	6	5
0.14183879	6	5
0.1418376	6	5
0.14183962	6	7
0.14183968	6	6
0.14183894	6	6
0.14183956	6	7
0.1418387	6	5
0.14183956	6	6

37.8378

================================================================================================================================================
================================================================================================================================================

LR = 4	epoch = 200 round output to ones digit

0.27553797	6	6
0.27553797	6	6
0.27553797	6	6
0.27553797	6	6
0.27553797	6	6
0.27553797	6	7
0.27553797	6	5
0.27553797	6	7
0.27553797	6	6
0.27553797	6	6
0.27553797	6	5
0.27553797	6	5
0.27553797	6	5
0.27553797	6	6
0.27553797	6	6
0.27553797	6	6
0.27553797	6	5
0.27553797	6	6
0.27553797	6	5
0.27553797	6	6
0.27553797	6	6
0.27553797	6	5
0.27553797	6	7
0.27553797	6	5
0.27553797	6	6
0.27553797	6	6
0.27553797	6	7
0.27553797	6	5
0.27553797	6	5
0.27553797	6	7
0.27553797	6	5
0.27553892	6	5
0.27553797	6	5
0.27553797	6	7
0.27553797	6	5
0.27553797	6	6
0.27553797	6	5
0.27553797	6	5
0.27553797	6	5
0.27553797	6	6
0.27553797	6	5
0.27553797	6	6
0.27553797	6	6
0.27553797	6	7
0.27553797	6	5
0.27553797	6	6
0.27553797	6	5
0.27553797	6	6
0.27553797	6	7
0.27553797	6	5
0.27553797	6	6
0.27553797	6	5
0.27553797	6	7
0.27553797	6	7
0.27553797	6	7
0.27553797	6	5
0.27553797	6	5
0.27553797	6	6
0.27553797	6	6
0.27553797	6	7
0.27553797	6	6
0.27553797	6	5
0.27553797	6	6
0.27553797	6	6
0.27553797	6	6
0.27553797	6	5
0.27553797	6	6
0.27553797	6	5
0.27553844	6	5
0.27553797	6	5
0.27553797	6	6
0.27553797	6	6
0.27553797	6	6
0.27553797	6	7
0.27553797	6	6
0.27553797	6	7
0.27553797	6	6
0.27553797	6	6
0.27553797	6	7
0.27553797	6	6
0.27553797	6	6
0.27553797	6	7
0.27553797	6	6
0.27553797	6	7
0.27553797	6	7
0.27553797	6	6
0.27553797	6	7
0.27553797	6	6
0.27553797	6	6
0.27553797	6	6
0.27553797	6	5
0.27553797	6	6
0.27553797	6	5
0.27553797	6	7
0.27553797	6	6
0.27553797	6	5
0.27553797	6	7
0.27553797	6	6
0.27553797	6	6
0.27553797	6	6
0.27553797	6	5
0.27553797	6	6
0.27553797	6	7
0.27553797	6	5
0.27553797	6	5
0.27553797	6	6
0.27553797	6	6
0.27553797	6	7
0.27553797	6	5
0.27553797	6	5
0.27553797	6	7

45.045
