@relation Cuteness
@ATTRIBUTE word0 NUMERIC
@ATTRIBUTE word1 NUMERIC
@ATTRIBUTE word2 NUMERIC
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10}
@Data
6,6,6,7
5,6,5,7
6,7,5,6
6,6,6,6
7,7,7,6
5,6,6,7
6,6,6,6
6,5,5,6
6,7,6,6
6,7,6,6
6,6,7,6
5,5,5,6
6,6,6,6
5,5,6,6
6,5,6,6
5,6,6,6
6,6,6,6
6,6,6,7
5,5,6,6
5,5,6,6
5,5,6,5
6,6,6,6
6,6,6,6
5,6,5,6
5,5,6,5
7,6,6,6
6,6,7,6
6,6,5,8
7,6,6,6
6,7,6,6
6,6,6,5
5,6,6,6
6,5,5,7
6,6,7,6
5,5,6,6
4,6,6,7
6,6,6,6
5,6,5,5
7,7,6,5
6,6,7,5
6,7,6,6
6,6,5,5
6,7,6,5
6,7,5,7
6,6,5,7
6,6,6,5
6,6,6,6
5,6,5,6
5,5,5,5
6,5,5,6
5,6,6,5
5,6,6,6
6,7,6,6
7,7,7,6
7,5,6,6
7,7,5,7
6,5,6,6
5,7,7,6
5,6,6,6
6,6,6,5
6,6,6,5
5,6,6,5
6,6,6,5
6,6,6,6
6,6,6,7
6,5,6,6
7,6,6,6
6,6,6,6
5,6,5,6
5,5,5,7
6,7,6,3
5,5,5,5
6,6,7,5
6,6,6,5
6,6,6,7
6,5,8,5
5,6,7,5
6,6,5,5
6,6,5,6
6,5,6,7
7,5,7,6
6,6,6,5
6,6,6,6
7,5,6,6
4,6,5,5
6,6,5,6
5,6,5,7
6,7,7,6
6,6,6,6
6,6,6,5
6,7,6,5
6,7,7,5
6,5,6,6
6,6,6,5
5,6,5,4
7,7,6,4
6,5,5,6
5,6,5,6
5,5,6,6
7,6,5,7
5,6,6,6
6,6,6,6
6,6,5,7
5,5,6,6
6,5,7,7
6,6,6,6
5,7,6,5
6,5,5,5
6,5,6,4
7,5,7,5
6,7,5,7
6,4,6,6
6,5,5,6
6,5,6,6
5,7,5,8
6,6,7,4
6,5,8,5
