@relation Features
@ATTRIBUTE word0 NUMERIC
@ATTRIBUTE word1 NUMERIC
@ATTRIBUTE word2 NUMERIC
@ATTRIBUTE word3 NUMERIC
@ATTRIBUTE word4 NUMERIC
@ATTRIBUTE word5 NUMERIC
@ATTRIBUTE word6 NUMERIC
@ATTRIBUTE word7 NUMERIC
@ATTRIBUTE word8 NUMERIC
@ATTRIBUTE word9 NUMERIC
@ATTRIBUTE word10 NUMERIC
@ATTRIBUTE word11 NUMERIC
@ATTRIBUTE word12 NUMERIC
@ATTRIBUTE word13 NUMERIC
@ATTRIBUTE word14 NUMERIC
@ATTRIBUTE word15 NUMERIC
@ATTRIBUTE word16 NUMERIC
@ATTRIBUTE word17 NUMERIC
@ATTRIBUTE word18 NUMERIC
@ATTRIBUTE word19 NUMERIC
@ATTRIBUTE word20 NUMERIC
@ATTRIBUTE word21 NUMERIC
@ATTRIBUTE word22 NUMERIC
@ATTRIBUTE word23 NUMERIC
@ATTRIBUTE word24 NUMERIC
@ATTRIBUTE word25 NUMERIC
@ATTRIBUTE word26 NUMERIC
@ATTRIBUTE word27 NUMERIC
@ATTRIBUTE word28 NUMERIC
@ATTRIBUTE word29 NUMERIC
@ATTRIBUTE word30 NUMERIC
@ATTRIBUTE word31 NUMERIC
@ATTRIBUTE word32 NUMERIC
@ATTRIBUTE word33 NUMERIC
@ATTRIBUTE word34 NUMERIC
@ATTRIBUTE word35 NUMERIC
@ATTRIBUTE word36 NUMERIC
@ATTRIBUTE word37 NUMERIC
@ATTRIBUTE word38 NUMERIC
@ATTRIBUTE word39 NUMERIC
@ATTRIBUTE word40 NUMERIC
@ATTRIBUTE word41 NUMERIC
@ATTRIBUTE word42 NUMERIC
@ATTRIBUTE word43 NUMERIC
@ATTRIBUTE word44 NUMERIC
@ATTRIBUTE word45 NUMERIC
@ATTRIBUTE word46 NUMERIC
@ATTRIBUTE word47 NUMERIC
@ATTRIBUTE word48 NUMERIC
@ATTRIBUTE word49 NUMERIC
@ATTRIBUTE word50 NUMERIC
@ATTRIBUTE word51 NUMERIC
@ATTRIBUTE word52 NUMERIC
@ATTRIBUTE word53 NUMERIC
@ATTRIBUTE word54 NUMERIC
@ATTRIBUTE word55 NUMERIC
@ATTRIBUTE word56 NUMERIC
@ATTRIBUTE word57 NUMERIC
@ATTRIBUTE word58 NUMERIC
@ATTRIBUTE word59 NUMERIC
@ATTRIBUTE word60 NUMERIC
@ATTRIBUTE word61 NUMERIC
@ATTRIBUTE word62 NUMERIC
@ATTRIBUTE word63 NUMERIC
@ATTRIBUTE word64 NUMERIC
@ATTRIBUTE word65 NUMERIC
@ATTRIBUTE word66 NUMERIC
@ATTRIBUTE word67 NUMERIC
@ATTRIBUTE word68 NUMERIC
@ATTRIBUTE word69 NUMERIC
@ATTRIBUTE word70 NUMERIC
@ATTRIBUTE word71 NUMERIC
@ATTRIBUTE word72 NUMERIC
@ATTRIBUTE word73 NUMERIC
@ATTRIBUTE word74 NUMERIC
@ATTRIBUTE word75 NUMERIC
@ATTRIBUTE word76 NUMERIC
@ATTRIBUTE word77 NUMERIC
@ATTRIBUTE word78 NUMERIC
@ATTRIBUTE word79 NUMERIC
@ATTRIBUTE word80 NUMERIC
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10}
@Data
0.082123,0.108855,0.851725,0.09817,0.221834,0.206752,0.229207,0.259626,0.185566,0.111297,0.139697,0.823724,0.124106,0.219792,0.204399,0.247745,0.277702,0.213518,0.095444,0.170767,0.844908,0.131164,0.180391,0.214553,0.220712,0.257704,0.19224,0.309932,0.289473,0.319387,0.261764,0.516359,0.305579,0.245555,0.309329,0.365557,0.333361,0.331031,0.327207,0.286436,0.460916,0.300792,0.261278,0.295878,0.362559,0.336685,0.373809,0.328061,0.294346,0.421904,0.32901,0.252593,0.282748,0.350207,0.352069,0.390067,0.521735,0.279923,0.520448,0.140844,0.117702,0.14763,0.216744,0.410223,0.405823,0.499176,0.292876,0.456303,0.170917,0.162329,0.141678,0.219596,0.430476,0.403393,0.471475,0.317059,0.40997,0.208257,0.204727,0.166629,0.219143,7
0.171148,0.114014,0.747815,0.1018,0.344289,0.156371,0.195286,0.407987,0.201351,0.210142,0.168445,0.69249,0.108276,0.332359,0.171804,0.210421,0.45067,0.220998,0.291146,0.180305,0.652947,0.124867,0.326496,0.163724,0.231199,0.439151,0.247142,0.325892,0.362894,0.474663,0.315237,0.478043,0.148793,0.059346,0.30641,0.298913,0.33494,0.364887,0.50707,0.25883,0.428029,0.177267,0.062965,0.31872,0.332234,0.448275,0.387097,0.464305,0.267633,0.397225,0.177835,0.080012,0.252894,0.31973,0.166755,0.313215,0.406045,0.202935,0.20873,0.050009,0.777777,0.075838,0.106189,0.192664,0.354657,0.447562,0.165544,0.206787,0.064727,0.731466,0.098486,0.133002,0.232757,0.382337,0.424799,0.171206,0.178768,0.089238,0.712345,0.133261,0.157356,7
0.115305,0.114462,0.825322,0.092791,0.257379,0.218942,0.279825,0.267623,0.140471,0.179014,0.177644,0.787758,0.106714,0.253618,0.247733,0.311727,0.241452,0.152576,0.219619,0.202326,0.790803,0.104556,0.2288,0.254202,0.300944,0.210673,0.150374,0.322572,0.419583,0.437506,0.38064,0.453224,0.244606,0.133192,0.207247,0.24013,0.361301,0.42867,0.458621,0.386788,0.414192,0.240865,0.115921,0.177509,0.22638,0.375772,0.488898,0.450705,0.365565,0.378857,0.2314,0.110789,0.130472,0.237962,0.144287,0.23698,0.316777,0.220453,0.211183,0.040981,0.849538,0.034188,0.070098,0.161464,0.223244,0.328884,0.238368,0.190162,0.048369,0.843315,0.049143,0.083732,0.164299,0.264056,0.287242,0.213493,0.150211,0.060599,0.859162,0.053844,0.088879,6
0.079847,0.139243,0.889267,0.135607,0.154487,0.164282,0.173231,0.26313,0.122265,0.136719,0.200882,0.844556,0.140248,0.156552,0.177622,0.182381,0.312279,0.1455,0.136192,0.236868,0.848489,0.189577,0.133411,0.177678,0.144403,0.283033,0.138362,0.295464,0.276506,0.404534,0.349384,0.439056,0.298425,0.212015,0.338743,0.330157,0.352918,0.300791,0.474332,0.361685,0.359232,0.252183,0.1847,0.34037,0.294206,0.391482,0.346044,0.440875,0.383228,0.349791,0.252867,0.155953,0.329477,0.25805,0.339855,0.351366,0.479132,0.364175,0.501336,0.162425,0.103787,0.146508,0.298151,0.408122,0.338349,0.518957,0.383205,0.419053,0.1252,0.092653,0.17812,0.266836,0.446473,0.325669,0.523474,0.382778,0.392799,0.141444,0.081087,0.192345,0.23704,6
0.116683,0.086952,0.867758,0.078155,0.209841,0.213469,0.266205,0.181936,0.16169,0.182691,0.120736,0.838478,0.095817,0.19891,0.216367,0.314039,0.160077,0.170863,0.153799,0.115038,0.87689,0.101562,0.158474,0.187299,0.276308,0.157581,0.149955,0.368322,0.285213,0.259464,0.312391,0.573559,0.326306,0.08119,0.117501,0.402786,0.430513,0.267764,0.328066,0.310856,0.526454,0.313655,0.089097,0.079763,0.385833,0.439204,0.336173,0.376355,0.364219,0.459854,0.262761,0.079686,0.102591,0.34986,0.361543,0.417965,0.517523,0.377736,0.501153,0.081844,0.021318,0.06582,0.146413,0.457398,0.332199,0.533774,0.382266,0.453027,0.098279,0.033236,0.05301,0.174874,0.437595,0.411791,0.482013,0.42327,0.4214,0.082959,0.044667,0.058494,0.193822,6
0.093399,0.147948,0.879573,0.10083,0.185613,0.136022,0.256597,0.236668,0.103751,0.136886,0.195266,0.855859,0.101372,0.172392,0.103349,0.30337,0.232208,0.118352,0.099708,0.207842,0.882079,0.074758,0.119676,0.107959,0.281823,0.217144,0.103214,0.416026,0.283355,0.29286,0.329878,0.473038,0.278876,0.303102,0.305307,0.255783,0.49115,0.329087,0.298839,0.28775,0.397481,0.276813,0.339135,0.265465,0.241384,0.404481,0.336783,0.313872,0.301379,0.33363,0.295884,0.365181,0.339432,0.293596,0.420297,0.41542,0.469036,0.361861,0.466243,0.142359,0.120624,0.115265,0.185347,0.484118,0.440107,0.386173,0.353965,0.432587,0.198455,0.113237,0.123543,0.207153,0.423774,0.442792,0.40736,0.396965,0.357595,0.215036,0.128087,0.16739,0.286855,7
0.065929,0.056661,0.894696,0.062376,0.186417,0.144872,0.235614,0.245237,0.129138,0.11351,0.075609,0.857232,0.090151,0.201926,0.155965,0.283538,0.258498,0.161585,0.0973,0.083846,0.874614,0.101156,0.153128,0.154901,0.256266,0.260536,0.165308,0.284666,0.251531,0.624684,0.181664,0.40068,0.279712,0.163234,0.311754,0.264282,0.320275,0.220939,0.694871,0.198902,0.343979,0.225527,0.098968,0.279631,0.262734,0.325283,0.237939,0.716742,0.238019,0.282169,0.229629,0.095152,0.261677,0.239427,0.293934,0.301563,0.768146,0.185516,0.376866,0.119385,0.089086,0.10145,0.153912,0.300232,0.244938,0.818017,0.179438,0.295948,0.086663,0.119063,0.118364,0.158849,0.292519,0.271091,0.816895,0.204569,0.232196,0.10379,0.167972,0.132111,0.146352,6
0.102377,0.131049,0.88591,0.108845,0.171545,0.152797,0.285177,0.189367,0.075504,0.14825,0.162849,0.853747,0.134811,0.185455,0.16149,0.316713,0.182584,0.101618,0.107469,0.158255,0.877941,0.13751,0.151608,0.163788,0.27431,0.187864,0.115606,0.196467,0.392966,0.531202,0.249825,0.336636,0.256996,0.427049,0.281029,0.147208,0.233371,0.375683,0.533496,0.290402,0.320034,0.243026,0.417249,0.262462,0.176015,0.241992,0.390095,0.529433,0.317977,0.281873,0.259993,0.373698,0.283388,0.202112,0.182053,0.394466,0.760337,0.221309,0.406824,0.076343,0.044789,0.045758,0.093421,0.266459,0.332888,0.77269,0.249255,0.36183,0.074037,0.050384,0.039576,0.136008,0.304933,0.369377,0.74123,0.269737,0.334668,0.098357,0.072545,0.045768,0.139145,6
0.094895,0.229885,0.808926,0.100101,0.272333,0.181768,0.213834,0.305847,0.16521,0.139949,0.297011,0.728929,0.133137,0.286557,0.186826,0.24557,0.340246,0.223706,0.170064,0.367056,0.710413,0.147238,0.228411,0.182493,0.212533,0.341423,0.250533,0.344277,0.42287,0.243254,0.269251,0.547085,0.224959,0.170565,0.365544,0.24158,0.365131,0.416132,0.229776,0.320283,0.496782,0.211986,0.210747,0.345612,0.287301,0.417986,0.401983,0.211884,0.326266,0.403426,0.213645,0.223876,0.384244,0.325871,0.41245,0.519369,0.467957,0.313816,0.428364,0.102414,0.115682,0.152678,0.109536,0.416956,0.539521,0.413604,0.353781,0.383064,0.115041,0.163352,0.173656,0.1484,0.470619,0.526645,0.36519,0.335611,0.314628,0.145582,0.208429,0.216192,0.211654,6
0.077673,0.069341,0.875097,0.105092,0.162661,0.20247,0.280542,0.218604,0.135555,0.152461,0.132387,0.81433,0.14489,0.207181,0.246364,0.291119,0.229525,0.184529,0.190254,0.155163,0.842073,0.139109,0.184445,0.190899,0.264462,0.190324,0.18618,0.392996,0.139695,0.365219,0.374892,0.425582,0.244168,0.366886,0.340084,0.247203,0.450485,0.178128,0.48679,0.399532,0.364905,0.187646,0.26213,0.276703,0.234729,0.515225,0.236379,0.518512,0.367263,0.341747,0.171967,0.218935,0.181204,0.21863,0.368981,0.223362,0.719986,0.383561,0.340609,0.07484,0.049791,0.100877,0.119127,0.40192,0.216556,0.740753,0.376155,0.258207,0.06828,0.045538,0.096492,0.136517,0.438515,0.252941,0.698697,0.370106,0.259143,0.113592,0.071015,0.111548,0.144997,6
