@relation Features
@ATTRIBUTE word0 NUMERIC
@ATTRIBUTE word1 NUMERIC
@ATTRIBUTE word2 NUMERIC
@ATTRIBUTE word3 NUMERIC
@ATTRIBUTE word4 NUMERIC
@ATTRIBUTE word5 NUMERIC
@ATTRIBUTE word6 NUMERIC
@ATTRIBUTE word7 NUMERIC
@ATTRIBUTE word8 NUMERIC
@ATTRIBUTE word9 NUMERIC
@ATTRIBUTE word10 NUMERIC
@ATTRIBUTE word11 NUMERIC
@ATTRIBUTE word12 NUMERIC
@ATTRIBUTE word13 NUMERIC
@ATTRIBUTE word14 NUMERIC
@ATTRIBUTE word15 NUMERIC
@ATTRIBUTE word16 NUMERIC
@ATTRIBUTE word17 NUMERIC
@ATTRIBUTE word18 NUMERIC
@ATTRIBUTE word19 NUMERIC
@ATTRIBUTE word20 NUMERIC
@ATTRIBUTE word21 NUMERIC
@ATTRIBUTE word22 NUMERIC
@ATTRIBUTE word23 NUMERIC
@ATTRIBUTE word24 NUMERIC
@ATTRIBUTE word25 NUMERIC
@ATTRIBUTE word26 NUMERIC
@ATTRIBUTE word27 NUMERIC
@ATTRIBUTE word28 NUMERIC
@ATTRIBUTE word29 NUMERIC
@ATTRIBUTE word30 NUMERIC
@ATTRIBUTE word31 NUMERIC
@ATTRIBUTE word32 NUMERIC
@ATTRIBUTE word33 NUMERIC
@ATTRIBUTE word34 NUMERIC
@ATTRIBUTE word35 NUMERIC
@ATTRIBUTE word36 NUMERIC
@ATTRIBUTE word37 NUMERIC
@ATTRIBUTE word38 NUMERIC
@ATTRIBUTE word39 NUMERIC
@ATTRIBUTE word40 NUMERIC
@ATTRIBUTE word41 NUMERIC
@ATTRIBUTE word42 NUMERIC
@ATTRIBUTE word43 NUMERIC
@ATTRIBUTE word44 NUMERIC
@ATTRIBUTE word45 NUMERIC
@ATTRIBUTE word46 NUMERIC
@ATTRIBUTE word47 NUMERIC
@ATTRIBUTE word48 NUMERIC
@ATTRIBUTE word49 NUMERIC
@ATTRIBUTE word50 NUMERIC
@ATTRIBUTE word51 NUMERIC
@ATTRIBUTE word52 NUMERIC
@ATTRIBUTE word53 NUMERIC
@ATTRIBUTE word54 NUMERIC
@ATTRIBUTE word55 NUMERIC
@ATTRIBUTE word56 NUMERIC
@ATTRIBUTE word57 NUMERIC
@ATTRIBUTE word58 NUMERIC
@ATTRIBUTE word59 NUMERIC
@ATTRIBUTE word60 NUMERIC
@ATTRIBUTE word61 NUMERIC
@ATTRIBUTE word62 NUMERIC
@ATTRIBUTE word63 NUMERIC
@ATTRIBUTE word64 NUMERIC
@ATTRIBUTE word65 NUMERIC
@ATTRIBUTE word66 NUMERIC
@ATTRIBUTE word67 NUMERIC
@ATTRIBUTE word68 NUMERIC
@ATTRIBUTE word69 NUMERIC
@ATTRIBUTE word70 NUMERIC
@ATTRIBUTE word71 NUMERIC
@ATTRIBUTE word72 NUMERIC
@ATTRIBUTE word73 NUMERIC
@ATTRIBUTE word74 NUMERIC
@ATTRIBUTE word75 NUMERIC
@ATTRIBUTE word76 NUMERIC
@ATTRIBUTE word77 NUMERIC
@ATTRIBUTE word78 NUMERIC
@ATTRIBUTE word79 NUMERIC
@ATTRIBUTE word80 NUMERIC
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10}
@Data
0.003642,0.007733,0.034593,0.003552,0.012168,0.007983,0.005366,0.02344,0.003685,0.004724,0.00738,0.03199,0.003486,0.013286,0.016485,0.005593,0.020958,0.007404,0.001675,0.007528,0.031225,0.003707,0.008032,0.023959,0.00938,0.016858,0.005192,0.009596,0.022878,0.027159,0.006886,0.019958,0.005409,0.003139,0.014377,0.006426,0.013575,0.019717,0.024225,0.010111,0.018746,0.011185,0.002616,0.015459,0.010073,0.006527,0.019821,0.032131,0.013117,0.01067,0.013868,0.003257,0.009938,0.005516,0.014871,0.02434,0.018966,0.007514,0.028113,0.001758,0.003059,0.002192,0.00697,0.021993,0.019414,0.020516,0.013913,0.023022,0.000504,0.001325,0.001338,0.008778,0.013089,0.018991,0.030787,0.020092,0.01355,0.0005,0.001681,0.001761,0.003557,7
0.00696,0.015287,0.034203,0.008282,0.014083,0.002254,0.002939,0.011628,0.010609,0.010594,0.009653,0.034037,0.010683,0.014712,0.004085,0.004538,0.011294,0.011003,0.0105,0.009212,0.035013,0.011087,0.014502,0.004957,0.005439,0.008075,0.010331,0.01222,0.015302,0.024558,0.014707,0.023027,0.002004,0.003771,0.009659,0.011649,0.016029,0.009404,0.025047,0.019499,0.019945,0.001743,0.001763,0.007217,0.013093,0.015549,0.008642,0.028792,0.018715,0.01479,0.002542,0.002876,0.007168,0.014138,0.012928,0.007913,0.018019,0.009695,0.033136,0.002331,0.004789,0.008665,0.011422,0.020946,0.00629,0.0195,0.013955,0.027276,0.001751,0.002132,0.005017,0.012259,0.019895,0.007822,0.029364,0.013882,0.015838,0.002766,0.003544,0.006712,0.012342,7
0.003818,0.006532,0.037998,0.003159,0.012013,0.006457,0.011071,0.009321,0.009043,0.006427,0.008572,0.034904,0.002191,0.010785,0.00877,0.012551,0.010628,0.013666,0.005744,0.008342,0.035227,0.001975,0.005951,0.011149,0.016504,0.010768,0.009635,0.005662,0.016189,0.024955,0.003844,0.018179,0.009269,0.016176,0.015183,0.012168,0.009581,0.020031,0.018792,0.004339,0.016,0.013617,0.012619,0.013701,0.018301,0.008964,0.020081,0.020889,0.005664,0.009258,0.019936,0.016709,0.009934,0.013239,0.002194,0.010759,0.011331,0.001425,0.012232,0.006524,0.037825,0.008137,0.006941,0.004326,0.013869,0.011516,0.003182,0.012188,0.009685,0.034411,0.008087,0.011945,0.00399,0.016977,0.013513,0.004011,0.006734,0.013237,0.033939,0.005368,0.009177,6
0.005358,0.016299,0.030362,0.012704,0.014631,0.004209,0.002408,0.012258,0.008073,0.007149,0.018801,0.024308,0.01614,0.012645,0.007353,0.002216,0.013272,0.013404,0.007316,0.016239,0.026519,0.019506,0.010406,0.009562,0.002864,0.011356,0.009632,0.012028,0.025056,0.016247,0.011623,0.022981,0.004754,0.003592,0.005512,0.008068,0.014147,0.023557,0.013709,0.01801,0.018568,0.002405,0.002166,0.004862,0.013577,0.009162,0.017631,0.021829,0.024119,0.011959,0.002877,0.003004,0.007421,0.012736,0.011939,0.018292,0.015946,0.007166,0.028822,0.006787,0.004157,0.006104,0.010795,0.014722,0.013668,0.01568,0.009946,0.026783,0.004034,0.003081,0.006341,0.017291,0.009826,0.014858,0.026875,0.014717,0.015259,0.003366,0.003345,0.007307,0.016301,6
0.003072,0.005741,0.043582,0.003411,0.012313,0.002548,0.015482,0.006871,0.006914,0.003877,0.008746,0.039864,0.003757,0.010274,0.004652,0.018701,0.008446,0.014253,0.001374,0.005317,0.039906,0.004332,0.004993,0.00573,0.023625,0.006602,0.012055,0.013812,0.013948,0.027943,0.005754,0.032184,0.003369,0.003914,0.005982,0.012197,0.019518,0.016474,0.027204,0.005592,0.022886,0.006704,0.003995,0.005939,0.020064,0.016527,0.010937,0.036851,0.010863,0.012032,0.00825,0.004598,0.003916,0.018113,0.005359,0.002925,0.005993,0.003366,0.016785,0.003479,0.044893,0.002728,0.006716,0.010824,0.003969,0.009798,0.002262,0.014879,0.004785,0.041274,0.008459,0.013885,0.011342,0.004246,0.014377,0.003298,0.008691,0.004578,0.041242,0.011463,0.012378,6
0.003648,0.007046,0.046522,0.00289,0.013852,0.003256,0.013086,0.009728,0.005422,0.005945,0.007402,0.045209,0.003153,0.014046,0.004663,0.014665,0.008378,0.009228,0.003282,0.006466,0.046801,0.002427,0.007488,0.005009,0.017876,0.007556,0.005175,0.003806,0.016322,0.028558,0.004161,0.028952,0.005109,0.019037,0.013857,0.014173,0.008426,0.014426,0.027664,0.005269,0.028159,0.006143,0.017942,0.009472,0.020467,0.007606,0.014134,0.037348,0.004972,0.016267,0.00734,0.023723,0.00922,0.00948,0.001726,0.003511,0.003677,0.001432,0.018876,0.003971,0.047587,0.002192,0.007813,0.001998,0.002832,0.005473,0.0016,0.018925,0.004001,0.045396,0.002803,0.015686,0.001599,0.002935,0.008698,0.001364,0.01063,0.002372,0.049431,0.002475,0.008747,7
0.004583,0.007204,0.038966,0.004676,0.010627,0.002509,0.015014,0.008675,0.004387,0.005696,0.006308,0.037678,0.005339,0.008954,0.003224,0.018379,0.007903,0.006411,0.005112,0.006402,0.038312,0.004319,0.004974,0.002572,0.018977,0.008826,0.005418,0.008719,0.014974,0.026101,0.009631,0.019841,0.003215,0.018718,0.011328,0.009765,0.010885,0.011551,0.030341,0.012599,0.014226,0.003466,0.017697,0.008056,0.01134,0.01011,0.011631,0.03504,0.011502,0.007646,0.003046,0.014962,0.007896,0.010039,0.004547,0.015789,0.01315,0.007295,0.030803,0.006969,0.012762,0.007841,0.018289,0.004003,0.014708,0.013894,0.010834,0.024359,0.006484,0.008444,0.006576,0.02756,0.00642,0.016818,0.018111,0.012338,0.015446,0.005611,0.006949,0.00915,0.029085,6
0.008916,0.010021,0.036731,0.003293,0.012874,0.002807,0.012345,0.004289,0.004155,0.015616,0.011245,0.033811,0.004803,0.012184,0.002712,0.011572,0.005927,0.006344,0.013469,0.011017,0.034917,0.005375,0.007094,0.005191,0.014614,0.006146,0.004704,0.017176,0.021901,0.008966,0.003662,0.028509,0.004886,0.011858,0.004025,0.006297,0.02671,0.016573,0.010227,0.005659,0.023717,0.00547,0.008069,0.003922,0.010197,0.025977,0.016773,0.016872,0.009829,0.014446,0.010205,0.011534,0.004965,0.009681,0.01127,0.014573,0.008551,0.004488,0.030661,0.006154,0.016426,0.010273,0.010752,0.018857,0.010661,0.012021,0.007453,0.023281,0.006294,0.015993,0.011215,0.016405,0.019274,0.010888,0.020307,0.008856,0.01374,0.005532,0.015026,0.016417,0.014356,6
0.003692,0.005532,0.039377,0.004561,0.012804,0.00246,0.01202,0.009592,0.007509,0.005405,0.005318,0.036673,0.005144,0.012255,0.004937,0.01543,0.008877,0.012576,0.003685,0.006485,0.036864,0.005133,0.006843,0.005703,0.020268,0.009777,0.007195,0.009544,0.01632,0.021961,0.008726,0.025011,0.004045,0.014999,0.012533,0.011775,0.013946,0.014582,0.022566,0.01137,0.021691,0.00674,0.013576,0.009032,0.015844,0.009632,0.016969,0.028244,0.012279,0.012885,0.007815,0.018008,0.010604,0.009243,0.006066,0.013942,0.012945,0.004619,0.037601,0.001195,0.003057,0.003508,0.014883,0.009541,0.014704,0.017375,0.00771,0.030792,0.001113,0.00133,0.00251,0.021271,0.009936,0.019675,0.028126,0.010451,0.022319,0.001566,0.001788,0.002404,0.013518,6
0.003356,0.008409,0.039267,0.003212,0.012623,0.001909,0.020563,0.007153,0.005889,0.006129,0.008531,0.038671,0.003208,0.012137,0.003261,0.020234,0.006062,0.009257,0.003586,0.00584,0.039696,0.002762,0.005988,0.002596,0.024091,0.005734,0.004436,0.005797,0.01742,0.024366,0.002618,0.019409,0.002134,0.02922,0.009355,0.006755,0.011482,0.017425,0.024423,0.004419,0.019276,0.002837,0.027422,0.006942,0.008639,0.006553,0.011779,0.030569,0.005522,0.009656,0.002064,0.031888,0.006234,0.002456,0.004372,0.019877,0.021939,0.003459,0.03299,0.004291,0.006788,0.003317,0.015314,0.008134,0.018588,0.019764,0.004678,0.029028,0.004016,0.005471,0.003497,0.024099,0.009889,0.021139,0.031506,0.009941,0.021108,0.003531,0.004658,0.004216,0.013129,6
