@relation Features
@ATTRIBUTE word0 NUMERIC
@ATTRIBUTE word1 NUMERIC
@ATTRIBUTE word2 NUMERIC
@ATTRIBUTE word3 NUMERIC
@ATTRIBUTE word4 NUMERIC
@ATTRIBUTE word5 NUMERIC
@ATTRIBUTE word6 NUMERIC
@ATTRIBUTE word7 NUMERIC
@ATTRIBUTE word8 NUMERIC
@ATTRIBUTE word9 NUMERIC
@ATTRIBUTE word10 NUMERIC
@ATTRIBUTE word11 NUMERIC
@ATTRIBUTE word12 NUMERIC
@ATTRIBUTE word13 NUMERIC
@ATTRIBUTE word14 NUMERIC
@ATTRIBUTE word15 NUMERIC
@ATTRIBUTE word16 NUMERIC
@ATTRIBUTE word17 NUMERIC
@ATTRIBUTE word18 NUMERIC
@ATTRIBUTE word19 NUMERIC
@ATTRIBUTE word20 NUMERIC
@ATTRIBUTE word21 NUMERIC
@ATTRIBUTE word22 NUMERIC
@ATTRIBUTE word23 NUMERIC
@ATTRIBUTE word24 NUMERIC
@ATTRIBUTE word25 NUMERIC
@ATTRIBUTE word26 NUMERIC
@ATTRIBUTE word27 NUMERIC
@ATTRIBUTE word28 NUMERIC
@ATTRIBUTE word29 NUMERIC
@ATTRIBUTE word30 NUMERIC
@ATTRIBUTE word31 NUMERIC
@ATTRIBUTE word32 NUMERIC
@ATTRIBUTE word33 NUMERIC
@ATTRIBUTE word34 NUMERIC
@ATTRIBUTE word35 NUMERIC
@ATTRIBUTE word36 NUMERIC
@ATTRIBUTE word37 NUMERIC
@ATTRIBUTE word38 NUMERIC
@ATTRIBUTE word39 NUMERIC
@ATTRIBUTE word40 NUMERIC
@ATTRIBUTE word41 NUMERIC
@ATTRIBUTE word42 NUMERIC
@ATTRIBUTE word43 NUMERIC
@ATTRIBUTE word44 NUMERIC
@ATTRIBUTE word45 NUMERIC
@ATTRIBUTE word46 NUMERIC
@ATTRIBUTE word47 NUMERIC
@ATTRIBUTE word48 NUMERIC
@ATTRIBUTE word49 NUMERIC
@ATTRIBUTE word50 NUMERIC
@ATTRIBUTE word51 NUMERIC
@ATTRIBUTE word52 NUMERIC
@ATTRIBUTE word53 NUMERIC
@ATTRIBUTE word54 NUMERIC
@ATTRIBUTE word55 NUMERIC
@ATTRIBUTE word56 NUMERIC
@ATTRIBUTE word57 NUMERIC
@ATTRIBUTE word58 NUMERIC
@ATTRIBUTE word59 NUMERIC
@ATTRIBUTE word60 NUMERIC
@ATTRIBUTE word61 NUMERIC
@ATTRIBUTE word62 NUMERIC
@ATTRIBUTE word63 NUMERIC
@ATTRIBUTE word64 NUMERIC
@ATTRIBUTE word65 NUMERIC
@ATTRIBUTE word66 NUMERIC
@ATTRIBUTE word67 NUMERIC
@ATTRIBUTE word68 NUMERIC
@ATTRIBUTE word69 NUMERIC
@ATTRIBUTE word70 NUMERIC
@ATTRIBUTE word71 NUMERIC
@ATTRIBUTE word72 NUMERIC
@ATTRIBUTE word73 NUMERIC
@ATTRIBUTE word74 NUMERIC
@ATTRIBUTE word75 NUMERIC
@ATTRIBUTE word76 NUMERIC
@ATTRIBUTE word77 NUMERIC
@ATTRIBUTE word78 NUMERIC
@ATTRIBUTE word79 NUMERIC
@ATTRIBUTE word80 NUMERIC
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10}
@Data
0.004491,0.001761,0.038642,0.004726,0.020363,0.000522,0.003688,0.002081,0.006134,0.009559,0.002547,0.037055,0.004343,0.019233,0.000577,0.003183,0.002575,0.01151,0.006254,0.001947,0.041946,0.003055,0.011292,0.000912,0.004212,0.002102,0.006858,0.011654,0.010532,0.008748,0.008627,0.031042,0.013409,0.011247,0.010247,0.015384,0.014935,0.006884,0.008291,0.009734,0.027395,0.010727,0.01091,0.011042,0.021653,0.011111,0.009689,0.012808,0.01124,0.019685,0.016067,0.014194,0.017221,0.018918,0.010843,0.012418,0.011813,0.007451,0.031008,0.013468,0.008192,0.010312,0.015037,0.014373,0.010114,0.012333,0.008307,0.027475,0.010558,0.00896,0.010416,0.020596,0.011325,0.013328,0.018795,0.010537,0.018975,0.015272,0.010321,0.015689,0.017121,7
0.015393,0.013191,0.025064,0.016118,0.019311,0.003187,0.002667,0.005907,0.006348,0.019103,0.017745,0.018418,0.015089,0.019712,0.005652,0.004146,0.005607,0.006965,0.023108,0.021343,0.015693,0.010482,0.01371,0.006995,0.004672,0.006405,0.010905,0.00796,0.004457,0.005985,0.009536,0.027559,0.006271,0.009449,0.015563,0.020592,0.010519,0.00465,0.004542,0.007681,0.027732,0.008903,0.008743,0.014254,0.020603,0.010204,0.006596,0.006172,0.008114,0.020484,0.00924,0.009372,0.02014,0.022679,0.009561,0.008397,0.011396,0.013128,0.026993,0.00382,0.007731,0.012867,0.018212,0.009893,0.00832,0.009002,0.012029,0.027061,0.004938,0.00667,0.012821,0.020148,0.011348,0.011713,0.009678,0.011401,0.021422,0.00475,0.007356,0.02003,0.018383,7
0.005326,0.001967,0.033467,0.00252,0.021227,0.010204,0.007339,0.004233,0.014138,0.007456,0.002393,0.02981,0.001829,0.017005,0.011293,0.007684,0.003989,0.023238,0.006462,0.002325,0.032844,0.00164,0.011688,0.017057,0.012072,0.005856,0.015774,0.013834,0.006967,0.011941,0.005322,0.03109,0.011561,0.010536,0.005828,0.018137,0.019967,0.007343,0.009802,0.005232,0.023353,0.011156,0.008377,0.004929,0.02539,0.018913,0.01152,0.015853,0.008926,0.018585,0.017721,0.01268,0.007906,0.016759,0.017426,0.006414,0.01267,0.005531,0.034772,0.005168,0.002511,0.002048,0.014238,0.024347,0.007283,0.010486,0.005497,0.026887,0.004796,0.003022,0.004109,0.020665,0.020667,0.011973,0.018451,0.010506,0.0237,0.00953,0.00497,0.006061,0.015803,6
0.008477,0.002033,0.041312,0.002555,0.022432,0.001704,0.00154,0.002135,0.002752,0.014915,0.00294,0.038364,0.002718,0.022845,0.003648,0.001719,0.002959,0.007256,0.011657,0.00207,0.041987,0.002065,0.016551,0.00588,0.002038,0.004909,0.008101,0.010825,0.005281,0.005643,0.007445,0.039982,0.008604,0.008582,0.010133,0.015117,0.013693,0.004034,0.003779,0.005701,0.035512,0.009544,0.006597,0.010433,0.023552,0.011653,0.006443,0.004449,0.008329,0.028072,0.01386,0.01048,0.019391,0.024027,0.007896,0.007406,0.01011,0.009892,0.037599,0.007348,0.007604,0.009309,0.019504,0.009258,0.008135,0.009496,0.009484,0.034303,0.00684,0.00565,0.00994,0.024971,0.0107,0.016295,0.013841,0.014067,0.026503,0.009611,0.009346,0.016641,0.019526,6
0.005859,0.003608,0.032753,0.005701,0.024692,0.004106,0.005609,0.002105,0.013534,0.009564,0.006691,0.030085,0.004878,0.019708,0.00522,0.006176,0.003104,0.021671,0.008651,0.007373,0.032992,0.002796,0.014703,0.007965,0.010527,0.004529,0.019019,0.01032,0.007714,0.004898,0.009339,0.032681,0.010195,0.008532,0.002487,0.02168,0.01288,0.007544,0.005052,0.006881,0.02441,0.009414,0.007176,0.002091,0.031019,0.015149,0.009261,0.009306,0.007717,0.017712,0.014175,0.012629,0.003097,0.029207,0.014392,0.008315,0.004992,0.007303,0.031747,0.008608,0.018105,0.008125,0.012956,0.019981,0.008852,0.00553,0.004523,0.025309,0.007389,0.018063,0.007889,0.019645,0.019817,0.009906,0.009272,0.006262,0.017258,0.009707,0.02492,0.007099,0.017852,6
0.012387,0.002784,0.039399,0.004529,0.023043,0.003273,0.001958,0.002027,0.004994,0.020674,0.003673,0.034868,0.004234,0.023561,0.004414,0.002022,0.002051,0.007144,0.017859,0.004198,0.040437,0.003233,0.015477,0.005607,0.001962,0.002194,0.006841,0.018523,0.005249,0.007504,0.004826,0.038684,0.007672,0.009345,0.010527,0.010237,0.02677,0.004762,0.003835,0.0033,0.036154,0.008052,0.005999,0.008286,0.00819,0.026473,0.008695,0.005315,0.004778,0.029983,0.011043,0.009875,0.015688,0.010792,0.01471,0.011469,0.012107,0.005348,0.038122,0.006377,0.008655,0.010196,0.010613,0.021202,0.012748,0.00992,0.005718,0.036647,0.005892,0.005575,0.008182,0.009469,0.016274,0.023177,0.014045,0.008885,0.027713,0.007863,0.008976,0.015047,0.009672,7
0.008431,0.005773,0.038819,0.004454,0.01852,0.002015,0.002199,0.002132,0.005199,0.013341,0.006926,0.036345,0.00429,0.017898,0.004137,0.003426,0.003101,0.009516,0.010363,0.007456,0.039497,0.003161,0.011344,0.005888,0.004023,0.004445,0.009074,0.011944,0.008756,0.009909,0.005132,0.033928,0.005547,0.013313,0.010379,0.014282,0.015946,0.008444,0.010037,0.00691,0.027804,0.007539,0.011634,0.011273,0.021171,0.012879,0.011465,0.014799,0.00855,0.018437,0.009637,0.016675,0.015971,0.021431,0.013931,0.008262,0.008541,0.004231,0.034125,0.003593,0.013458,0.012118,0.012493,0.01741,0.006673,0.009091,0.006959,0.028709,0.003971,0.01359,0.012363,0.018933,0.012137,0.008731,0.015559,0.009406,0.019402,0.004278,0.019958,0.018949,0.017562,6
0.004706,0.002297,0.038575,0.003605,0.026341,0.003679,0.004565,0.004022,0.012988,0.006816,0.003089,0.034931,0.002452,0.023586,0.003935,0.003895,0.004002,0.023588,0.005214,0.002864,0.038647,0.002028,0.016398,0.005968,0.006593,0.004941,0.023153,0.007711,0.004648,0.009869,0.003765,0.039775,0.007568,0.010045,0.008685,0.020816,0.009112,0.004047,0.006668,0.001893,0.031247,0.007151,0.010132,0.009301,0.032824,0.00616,0.002962,0.010366,0.002599,0.021155,0.011259,0.014618,0.012617,0.036516,0.00538,0.005823,0.009506,0.002136,0.020423,0.006499,0.040924,0.008156,0.009117,0.00766,0.005538,0.007265,0.00195,0.02,0.007479,0.037126,0.012661,0.01735,0.00583,0.004523,0.010976,0.003323,0.012772,0.009442,0.037432,0.0146,0.019723,6
0.011164,0.003073,0.036608,0.003503,0.023431,0.003415,0.001857,0.001611,0.004793,0.02058,0.005188,0.030922,0.003856,0.023489,0.006024,0.001913,0.001885,0.007713,0.021769,0.005339,0.033374,0.003828,0.018096,0.007468,0.002469,0.002337,0.007106,0.014196,0.010418,0.011027,0.011887,0.031912,0.006453,0.013364,0.0103,0.012593,0.020584,0.010024,0.008957,0.010548,0.028461,0.008608,0.009056,0.0094,0.017494,0.017155,0.013664,0.013891,0.013381,0.021947,0.010337,0.01311,0.01248,0.017522,0.005475,0.006085,0.007899,0.007258,0.019294,0.003748,0.036938,0.007458,0.009368,0.009302,0.006297,0.008866,0.007977,0.020098,0.004296,0.033115,0.008872,0.014494,0.006657,0.008421,0.012518,0.009506,0.013359,0.003826,0.035923,0.009698,0.011672,6
0.007089,0.00389,0.038422,0.006071,0.021192,0.001843,0.001646,0.001751,0.007337,0.012055,0.006678,0.036295,0.004902,0.018864,0.002629,0.002054,0.00223,0.013688,0.006831,0.005977,0.041183,0.004111,0.012965,0.003824,0.00339,0.002748,0.009669,0.006395,0.00814,0.006734,0.005227,0.0326,0.00623,0.018354,0.007548,0.02038,0.008124,0.008823,0.006677,0.004315,0.024797,0.008828,0.017335,0.00675,0.029063,0.006626,0.013085,0.011268,0.005837,0.018171,0.013113,0.025046,0.010434,0.02182,0.009355,0.011185,0.014004,0.005759,0.031081,0.005731,0.017846,0.006944,0.016825,0.013585,0.011863,0.014389,0.005462,0.024192,0.007376,0.017235,0.005587,0.023676,0.009829,0.015148,0.024887,0.006724,0.015218,0.010043,0.02181,0.008222,0.014974,6
