@relation Cuteness
@ATTRIBUTE word0 NUMERIC
@ATTRIBUTE word1 NUMERIC
@ATTRIBUTE word2 NUMERIC
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10}
@Data
6,6,6,7
6,0,5,7
6,7,6,6
5,0,0,5
6,0,7,7
0,0,6,7
5,0,0,6
6,0,0,5
6,0,6,6
0,0,6,6
0,0,7,5
6,6,0,6
5,5,0,5
0,0,5,5
0,0,7,7
5,0,0,6
0,0,6,7
6,0,6,7
0,0,6,6
0,0,6,6
0,0,7,6
0,0,5,6
0,0,5,6
6,0,5,6
5,0,7,5
0,0,6,6
0,0,6,6
0,0,7,8
0,0,6,6
0,0,6,6
6,7,6,4
6,6,5,7
0,0,5,7
0,4,6,6
5,7,0,5
0,0,6,7
6,0,0,6
6,6,6,5
5,7,6,5
7,0,6,4
4,0,0,6
0,0,7,5
6,4,0,5
0,4,0,7
5,0,5,7
6,0,0,4
6,4,6,6
6,4,6,6
6,0,0,5
0,5,0,6
6,0,0,4
0,0,6,6
0,8,0,6
6,0,7,7
7,0,6,7
5,0,6,7
5,0,0,6
0,0,5,4
5,0,6,6
0,0,6,4
6,6,0,6
0,0,6,5
6,0,0,6
6,6,5,6
6,6,0,7
6,6,5,6
0,7,0,6
6,7,5,6
6,0,0,6
6,0,6,7
6,6,6,4
5,0,6,5
6,0,6,6
0,6,5,5
6,8,4,7
5,0,7,5
0,7,5,6
5,7,0,4
6,6,7,6
0,0,6,7
5,5,6,5
5,6,0,4
7,0,0,6
6,0,6,7
6,0,0,5
6,4,5,6
6,5,0,7
6,6,6,6
4,6,5,6
7,6,6,6
6,5,7,5
5,6,5,5
6,0,0,7
0,0,6,5
5,5,0,4
6,7,6,4
6,5,0,6
6,6,6,6
6,6,6,7
5,0,0,6
7,0,0,6
6,6,7,7
0,5,6,7
7,4,0,7
5,7,0,7
7,7,6,5
6,0,0,5
6,0,6,4
5,6,6,5
6,6,6,7
6,0,7,6
6,5,0,7
7,0,5,6
6,6,0,8
5,0,0,4
5,0,0,5
