@relation Features
@ATTRIBUTE word0 NUMERIC
@ATTRIBUTE word1 NUMERIC
@ATTRIBUTE word2 NUMERIC
@ATTRIBUTE word3 NUMERIC
@ATTRIBUTE word4 NUMERIC
@ATTRIBUTE word5 NUMERIC
@ATTRIBUTE word6 NUMERIC
@ATTRIBUTE word7 NUMERIC
@ATTRIBUTE word8 NUMERIC
@ATTRIBUTE word9 NUMERIC
@ATTRIBUTE word10 NUMERIC
@ATTRIBUTE word11 NUMERIC
@ATTRIBUTE word12 NUMERIC
@ATTRIBUTE word13 NUMERIC
@ATTRIBUTE word14 NUMERIC
@ATTRIBUTE word15 NUMERIC
@ATTRIBUTE word16 NUMERIC
@ATTRIBUTE word17 NUMERIC
@ATTRIBUTE word18 NUMERIC
@ATTRIBUTE word19 NUMERIC
@ATTRIBUTE word20 NUMERIC
@ATTRIBUTE word21 NUMERIC
@ATTRIBUTE word22 NUMERIC
@ATTRIBUTE word23 NUMERIC
@ATTRIBUTE word24 NUMERIC
@ATTRIBUTE word25 NUMERIC
@ATTRIBUTE word26 NUMERIC
@ATTRIBUTE word27 NUMERIC
@ATTRIBUTE word28 NUMERIC
@ATTRIBUTE word29 NUMERIC
@ATTRIBUTE word30 NUMERIC
@ATTRIBUTE word31 NUMERIC
@ATTRIBUTE word32 NUMERIC
@ATTRIBUTE word33 NUMERIC
@ATTRIBUTE word34 NUMERIC
@ATTRIBUTE word35 NUMERIC
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10}
@Data
0.016353,0.019928,0.034174,0.038463,0.041389,0.031971,0.041389,0.041389,0.024772,0.031097,0.029085,0.033888,0.026786,0.018792,0.013412,0.013948,0.01655,0.02277,0.041389,0.041389,0.040366,0.038452,0.0405,0.026932,0.028921,0.027159,0.020674,0.018133,0.015154,0.013991,0.015823,0.019741,0.020901,0.03165,0.035693,0.026979,7
0.037079,0.026567,0.027993,0.033432,0.040671,0.03898,0.040671,0.040671,0.040671,0.02732,0.0187,0.01634,0.01185,0.02359,0.016995,0.023827,0.033733,0.039856,0.037168,0.028744,0.024997,0.022009,0.035789,0.036156,0.040671,0.031553,0.037247,0.017445,0.013015,0.01473,0.008995,0.025626,0.014498,0.02642,0.024545,0.021447,7
0.018516,0.022116,0.03475,0.036439,0.039278,0.039278,0.035061,0.034587,0.024342,0.013541,0.017893,0.027844,0.032744,0.035525,0.023765,0.026334,0.028326,0.017518,0.024352,0.03864,0.039278,0.039278,0.039278,0.036262,0.020639,0.014008,0.014048,0.021881,0.039278,0.039278,0.039278,0.031248,0.015441,0.012339,0.013589,0.014027,6
0.040842,0.040842,0.030261,0.014489,0.021846,0.025495,0.034593,0.040842,0.040842,0.032307,0.040842,0.031695,0.01723,0.023393,0.025474,0.01468,0.011334,0.016473,0.037393,0.030518,0.021986,0.012421,0.024887,0.035852,0.032634,0.040842,0.040842,0.018146,0.009394,0.010215,0.0113,0.02409,0.033905,0.030412,0.040842,0.040842,5
0.022276,0.021009,0.033656,0.042006,0.042006,0.042006,0.036682,0.023956,0.023489,0.021201,0.017619,0.023179,0.009937,0.027852,0.017417,0.026748,0.017334,0.019821,0.027431,0.0306,0.042006,0.042006,0.042006,0.042006,0.03761,0.026214,0.022765,0.027949,0.026345,0.02142,0.006622,0.027447,0.02621,0.033585,0.024286,0.025298,7
0.017797,0.022148,0.045908,0.045908,0.045908,0.045908,0.045213,0.025142,0.022577,0.020843,0.0189,0.027492,0.025959,0.039333,0.017649,0.014579,0.011793,0.020591,0.023691,0.033304,0.045908,0.045908,0.045908,0.045908,0.032338,0.014837,0.014445,0.01525,0.013237,0.019658,0.020901,0.044459,0.02555,0.0203,0.010754,0.014,7
0.028192,0.031421,0.036307,0.040524,0.040524,0.040524,0.037582,0.029138,0.028495,0.023114,0.030132,0.034923,0.030989,0.028089,0.01719,0.017328,0.020122,0.020036,0.018935,0.020779,0.028714,0.040524,0.040524,0.040524,0.040524,0.030715,0.023641,0.016965,0.017691,0.01706,0.013221,0.021589,0.019259,0.026124,0.026959,0.021622,6
0.033284,0.038836,0.038836,0.038836,0.036239,0.017065,0.015517,0.018458,0.022638,0.018213,0.03462,0.038836,0.030194,0.029322,0.011934,0.015331,0.010607,0.012468,0.037381,0.029772,0.038836,0.038836,0.038693,0.037643,0.038836,0.037676,0.033441,0.013794,0.013552,0.021846,0.017524,0.029881,0.029957,0.035842,0.02774,0.017522,5
0.025402,0.024485,0.027634,0.040989,0.040989,0.040989,0.040989,0.039753,0.038893,0.021981,0.018368,0.020193,0.021593,0.033022,0.01617,0.013646,0.01416,0.023167,0.022057,0.031207,0.040989,0.040989,0.040989,0.040989,0.031924,0.028265,0.023338,0.018152,0.015267,0.019694,0.023815,0.034248,0.022237,0.021063,0.021185,0.021171,6
0.019943,0.018123,0.036469,0.047264,0.047264,0.047264,0.028399,0.019519,0.022259,0.017542,0.017286,0.038327,0.038295,0.047264,0.043195,0.017227,0.009486,0.015536,0.023141,0.019248,0.019089,0.035446,0.047264,0.047264,0.02612,0.017169,0.022772,0.017663,0.012117,0.014635,0.01661,0.047264,0.046293,0.023377,0.014115,0.019748,6
0.028196,0.033025,0.042661,0.042661,0.042661,0.029858,0.018244,0.019866,0.023782,0.033021,0.032834,0.031762,0.029661,0.028124,0.018532,0.014981,0.019334,0.026918,0.015502,0.013692,0.020567,0.035931,0.042661,0.042661,0.040207,0.03467,0.022822,0.019541,0.012957,0.012619,0.014437,0.023839,0.025275,0.029942,0.039899,0.036657,5
0.02099,0.030414,0.039517,0.040688,0.042197,0.042197,0.0394,0.027953,0.023492,0.019456,0.024818,0.029236,0.023319,0.029923,0.012886,0.013719,0.012945,0.017569,0.019599,0.020747,0.03251,0.042197,0.042197,0.042197,0.042197,0.042197,0.028149,0.016405,0.011393,0.01269,0.015493,0.027084,0.022684,0.03268,0.034946,0.023915,6
0.016156,0.018064,0.034782,0.043953,0.043953,0.039191,0.0229,0.017444,0.0151,0.015464,0.016443,0.023986,0.029325,0.043953,0.017362,0.020538,0.01693,0.01541,0.029956,0.032066,0.027657,0.043953,0.043953,0.043953,0.035742,0.031777,0.033412,0.025691,0.024954,0.017656,0.021561,0.039399,0.026661,0.026361,0.021511,0.022784,5
0.036031,0.026231,0.034174,0.034257,0.031629,0.037257,0.032261,0.034213,0.037096,0.019642,0.01797,0.022513,0.029719,0.02478,0.01835,0.017767,0.026073,0.025696,0.022746,0.016026,0.017749,0.029198,0.037257,0.037257,0.029649,0.028129,0.037257,0.014047,0.008531,0.011268,0.026808,0.032636,0.035807,0.037257,0.037257,0.035461,5
0.03837,0.03837,0.037145,0.0331,0.03837,0.03837,0.03837,0.025213,0.027495,0.023073,0.03837,0.036703,0.021555,0.021095,0.016088,0.014302,0.013374,0.016743,0.030189,0.036836,0.03837,0.03837,0.03837,0.033127,0.03535,0.026709,0.024389,0.016849,0.016035,0.0158,0.013139,0.021489,0.025341,0.030596,0.0232,0.019731,7
0.020882,0.030328,0.043659,0.043659,0.043659,0.043659,0.021354,0.017625,0.019005,0.027192,0.034472,0.030925,0.028457,0.043659,0.029665,0.017099,0.014534,0.01731,0.021071,0.019081,0.021401,0.035008,0.043659,0.043659,0.039104,0.022926,0.01891,0.014086,0.011262,0.013643,0.015775,0.040793,0.039477,0.034025,0.023125,0.015851,6
0.036408,0.038081,0.033639,0.040102,0.040102,0.034438,0.020119,0.023934,0.034193,0.040102,0.040102,0.02815,0.019249,0.013685,0.010001,0.011262,0.014119,0.027871,0.034882,0.018953,0.016218,0.028597,0.040102,0.030497,0.025229,0.034711,0.040102,0.040102,0.01929,0.014372,0.014231,0.01467,0.016289,0.025994,0.040102,0.040102,7
0.016992,0.023559,0.032592,0.041632,0.041632,0.041632,0.035378,0.018742,0.01558,0.018436,0.026111,0.031747,0.027559,0.02753,0.01824,0.015789,0.01226,0.014864,0.025131,0.026461,0.03627,0.041632,0.041632,0.041632,0.041632,0.032246,0.026004,0.025405,0.020815,0.019538,0.019531,0.025704,0.024373,0.031877,0.030371,0.029474,7
0.029335,0.021909,0.032182,0.030271,0.037904,0.037904,0.037904,0.030971,0.030987,0.031947,0.025005,0.019326,0.012531,0.032736,0.025391,0.01773,0.017469,0.020022,0.037904,0.033952,0.037904,0.037904,0.037904,0.037904,0.031159,0.022366,0.036676,0.029455,0.015685,0.011567,0.010828,0.029591,0.025049,0.022863,0.022778,0.026986,6
0.039298,0.024099,0.017852,0.020539,0.039298,0.035415,0.039298,0.039298,0.039298,0.039298,0.026822,0.018906,0.014911,0.020144,0.017546,0.020101,0.031187,0.039298,0.021279,0.015603,0.019466,0.023944,0.039298,0.039298,0.037781,0.039298,0.035838,0.016904,0.012402,0.009713,0.009819,0.022737,0.030237,0.029701,0.039298,0.034773,6
0.041445,0.041445,0.036771,0.029111,0.040045,0.033344,0.023453,0.026432,0.041445,0.041445,0.041445,0.041445,0.021801,0.014813,0.011206,0.012983,0.017152,0.021006,0.033907,0.025592,0.018831,0.019146,0.028265,0.028551,0.02632,0.037817,0.041445,0.02278,0.02091,0.018823,0.012874,0.013421,0.013049,0.024582,0.040219,0.036682,6
0.015053,0.041371,0.032729,0.039611,0.042768,0.042768,0.042768,0.018425,0.014941,0.017697,0.042768,0.034447,0.025539,0.028799,0.013574,0.011785,0.010781,0.013314,0.02141,0.0201,0.038829,0.042768,0.042768,0.02904,0.023862,0.042768,0.034478,0.016244,0.011198,0.014614,0.019509,0.025138,0.017005,0.03,0.042768,0.038364,6
0.023645,0.017944,0.022318,0.033599,0.040603,0.040603,0.029756,0.025057,0.029084,0.023505,0.023826,0.028608,0.034375,0.040603,0.038392,0.023767,0.018578,0.021051,0.031938,0.023773,0.021493,0.034565,0.040603,0.040603,0.02491,0.019394,0.02505,0.016297,0.013091,0.015261,0.023491,0.040603,0.040603,0.029991,0.022858,0.020165,6
0.015139,0.015631,0.027311,0.051943,0.051943,0.051943,0.036307,0.018442,0.016346,0.021736,0.019807,0.026111,0.035363,0.051169,0.022284,0.016419,0.016401,0.024125,0.017606,0.019865,0.029273,0.051943,0.051943,0.051943,0.026142,0.01306,0.013896,0.016792,0.01307,0.018617,0.029283,0.051943,0.029542,0.020013,0.010929,0.015713,6
0.034874,0.030815,0.026936,0.026499,0.034114,0.036661,0.029546,0.03163,0.036406,0.016528,0.016225,0.016614,0.014469,0.017821,0.019669,0.022286,0.019806,0.018322,0.038087,0.03671,0.032296,0.032938,0.03351,0.038087,0.038087,0.038087,0.038087,0.028121,0.021184,0.014724,0.012939,0.015764,0.02436,0.038087,0.038087,0.031622,5
0.045987,0.028417,0.026726,0.037405,0.033862,0.036129,0.027238,0.038332,0.045987,0.045987,0.025082,0.018869,0.013287,0.01303,0.011449,0.016345,0.019028,0.044587,0.045987,0.033512,0.020373,0.01417,0.013148,0.016787,0.027584,0.045987,0.045987,0.029291,0.014456,0.010964,0.0084,0.01702,0.015409,0.02511,0.042079,0.045987,6
0.031786,0.031538,0.04135,0.041927,0.041927,0.041927,0.041485,0.041927,0.03969,0.017195,0.015626,0.024183,0.027923,0.041455,0.02412,0.016542,0.017811,0.019216,0.024113,0.030797,0.0382,0.041927,0.041927,0.038112,0.019131,0.016685,0.021448,0.017422,0.012177,0.015432,0.018305,0.031485,0.021501,0.016525,0.017271,0.019914,6
0.043487,0.037865,0.016753,0.020208,0.043487,0.039813,0.034973,0.037588,0.043487,0.03841,0.028032,0.017526,0.013872,0.015957,0.013105,0.016279,0.019958,0.025917,0.043487,0.035818,0.01514,0.020468,0.043487,0.030221,0.027634,0.043487,0.043487,0.036449,0.017953,0.01033,0.007803,0.012659,0.013487,0.022248,0.032374,0.036753,8
0.037615,0.035403,0.037615,0.037615,0.037615,0.030209,0.021753,0.021246,0.027134,0.034272,0.029018,0.035429,0.021632,0.018288,0.013412,0.013241,0.013636,0.024226,0.037258,0.027202,0.021037,0.027304,0.035304,0.032543,0.037615,0.037615,0.037615,0.023602,0.013082,0.013541,0.012454,0.017349,0.02428,0.037615,0.037615,0.037615,6
0.030099,0.034465,0.03715,0.039272,0.039272,0.038419,0.022836,0.018455,0.019389,0.033972,0.038526,0.0315,0.025586,0.024127,0.017911,0.016803,0.013647,0.018089,0.036262,0.028424,0.030256,0.039272,0.039272,0.03083,0.039137,0.026378,0.025019,0.023852,0.014174,0.014748,0.019763,0.022523,0.023643,0.034897,0.026292,0.025738,6
0.03942,0.037026,0.033574,0.03942,0.03942,0.03942,0.036355,0.02866,0.03942,0.035274,0.032361,0.024485,0.019056,0.021723,0.018953,0.01523,0.017172,0.026456,0.03585,0.02493,0.026945,0.03942,0.03942,0.03942,0.033413,0.02304,0.031666,0.021626,0.017439,0.015086,0.014216,0.023585,0.016954,0.015646,0.016717,0.021198,4
0.018295,0.013118,0.022127,0.031453,0.041764,0.041764,0.041764,0.041764,0.032651,0.017638,0.014146,0.015787,0.015133,0.032094,0.032735,0.030384,0.021287,0.022441,0.032093,0.037186,0.041764,0.041764,0.041764,0.041764,0.033211,0.018733,0.016866,0.031496,0.020425,0.018278,0.020366,0.028238,0.017971,0.021081,0.022783,0.027872,7
0.040594,0.040594,0.040594,0.040594,0.040594,0.03516,0.037628,0.040594,0.040594,0.022354,0.019505,0.02353,0.020468,0.02748,0.015279,0.015184,0.014338,0.019521,0.040594,0.040594,0.040594,0.037843,0.028907,0.028318,0.023244,0.025839,0.037314,0.018928,0.014426,0.01302,0.010426,0.022415,0.02152,0.02165,0.020041,0.019722,7
0.037634,0.023614,0.024422,0.029,0.030655,0.037634,0.037634,0.037634,0.037634,0.025028,0.026346,0.027909,0.021683,0.017563,0.013062,0.017836,0.018794,0.019793,0.037634,0.028527,0.030001,0.030158,0.032177,0.031136,0.029513,0.037634,0.037634,0.024486,0.017559,0.016797,0.012533,0.018615,0.021953,0.034495,0.037634,0.037634,6
0.037767,0.038346,0.038346,0.038346,0.028637,0.01708,0.013978,0.013795,0.021413,0.038346,0.038346,0.035974,0.034713,0.031197,0.020847,0.015948,0.016603,0.033375,0.024685,0.017421,0.023447,0.028467,0.038346,0.038346,0.036364,0.038346,0.038346,0.018599,0.014529,0.016222,0.018448,0.032434,0.027959,0.025705,0.0248,0.024474,5
0.032231,0.029952,0.029994,0.042401,0.042401,0.042401,0.025397,0.03467,0.042401,0.027635,0.035075,0.028185,0.0192,0.020232,0.017215,0.011294,0.016793,0.024574,0.029709,0.014512,0.014596,0.020527,0.042401,0.042401,0.042204,0.042401,0.042401,0.011673,0.009522,0.011177,0.01026,0.01809,0.023294,0.028833,0.042401,0.031544,7
0.017507,0.010483,0.010396,0.018387,0.036229,0.057633,0.054161,0.029446,0.036088,0.021937,0.015926,0.01761,0.031997,0.057633,0.049741,0.019494,0.015063,0.022208,0.007887,0.004812,0.005108,0.009283,0.035928,0.057633,0.057633,0.04181,0.014914,0.008779,0.007711,0.008495,0.015997,0.057633,0.057633,0.057633,0.018355,0.010815,6
0.015515,0.015235,0.021381,0.042893,0.04607,0.04607,0.04607,0.038551,0.023364,0.01759,0.017039,0.016798,0.021726,0.035737,0.027643,0.021662,0.01996,0.019974,0.023317,0.02333,0.023992,0.038504,0.04607,0.04607,0.04607,0.038367,0.028481,0.018909,0.01497,0.014721,0.016438,0.029506,0.024555,0.023265,0.02403,0.026124,5
0.044971,0.044971,0.044971,0.021668,0.026617,0.024176,0.022833,0.024591,0.039209,0.044971,0.01956,0.011424,0.003207,0.010174,0.004765,0.012585,0.024719,0.044971,0.044971,0.044971,0.044971,0.044971,0.033979,0.024716,0.029636,0.027519,0.041961,0.044971,0.020247,0.014826,0.008971,0.013782,0.005529,0.015158,0.023468,0.044971,5
0.039495,0.039495,0.033297,0.038882,0.039495,0.032909,0.018325,0.017237,0.025566,0.039495,0.039495,0.039495,0.027254,0.019783,0.019429,0.015651,0.017708,0.033285,0.036348,0.027846,0.01556,0.027484,0.03668,0.036078,0.031395,0.030114,0.029371,0.012246,0.012805,0.011603,0.012589,0.017908,0.037153,0.039495,0.033291,0.015738,4
0.032027,0.024435,0.026788,0.041138,0.041138,0.039429,0.027259,0.023187,0.021274,0.017439,0.019311,0.027391,0.037991,0.041138,0.022485,0.016211,0.016507,0.015602,0.028552,0.01834,0.016074,0.029837,0.041138,0.041138,0.041138,0.03681,0.026672,0.014857,0.010407,0.01234,0.01762,0.037627,0.035304,0.033744,0.039518,0.028137,7
0.039618,0.039618,0.026034,0.019167,0.023799,0.033507,0.039618,0.039618,0.039618,0.039618,0.039618,0.028729,0.018146,0.017817,0.013386,0.014307,0.020502,0.029067,0.039618,0.039618,0.03194,0.019818,0.020711,0.017719,0.021369,0.026654,0.037846,0.036997,0.02232,0.015298,0.015606,0.021019,0.016541,0.021801,0.033719,0.039618,5
0.021134,0.023906,0.025227,0.031879,0.037455,0.037455,0.036844,0.029803,0.029584,0.019213,0.024645,0.026554,0.022789,0.033972,0.02286,0.014296,0.016265,0.022088,0.037455,0.037455,0.028737,0.026685,0.037455,0.037455,0.036785,0.031651,0.034186,0.014906,0.012063,0.013581,0.016182,0.037243,0.037455,0.032687,0.029943,0.022108,5
0.037289,0.04069,0.04069,0.04069,0.04069,0.022726,0.015087,0.014954,0.022255,0.030433,0.033592,0.036676,0.04069,0.031158,0.018981,0.01253,0.009944,0.014061,0.04069,0.032375,0.02183,0.04069,0.04069,0.03639,0.021151,0.016469,0.02659,0.0245,0.014969,0.013358,0.031479,0.035015,0.033965,0.022282,0.02171,0.022714,7
0.025076,0.037865,0.037865,0.037865,0.037865,0.037865,0.037865,0.031924,0.029034,0.021975,0.037139,0.034132,0.020763,0.019742,0.010399,0.011444,0.013039,0.017284,0.024913,0.028675,0.036719,0.02826,0.037865,0.037865,0.037865,0.037865,0.037362,0.015185,0.014839,0.016319,0.015361,0.024215,0.022107,0.031319,0.031293,0.022828,7
0.01428,0.023234,0.033047,0.039753,0.039753,0.034582,0.039753,0.037276,0.017535,0.021821,0.036305,0.039753,0.039753,0.039753,0.022007,0.013718,0.013283,0.015459,0.017365,0.039753,0.039753,0.039753,0.039753,0.037986,0.021971,0.011622,0.01066,0.015123,0.014951,0.021422,0.031952,0.039753,0.029627,0.025691,0.022203,0.019601,4
0.02133,0.018079,0.021169,0.018675,0.034334,0.035117,0.035117,0.032836,0.029446,0.021009,0.023737,0.031645,0.023765,0.031268,0.031121,0.030726,0.026328,0.025753,0.024669,0.035117,0.035117,0.035117,0.035117,0.031335,0.027442,0.022116,0.022436,0.028944,0.026614,0.025232,0.023185,0.032051,0.026556,0.02478,0.025202,0.027513,6
0.035427,0.037582,0.037582,0.036903,0.028805,0.037582,0.037582,0.027947,0.029554,0.029,0.037582,0.037582,0.024294,0.018911,0.012642,0.012473,0.014791,0.02031,0.037582,0.027293,0.026216,0.024352,0.024885,0.027851,0.027949,0.030946,0.037582,0.027621,0.024308,0.021043,0.019839,0.022866,0.02583,0.023359,0.025192,0.028734,6
0.027162,0.02926,0.030065,0.028897,0.038446,0.038446,0.038446,0.038446,0.03706,0.032407,0.029634,0.028929,0.01371,0.018685,0.014519,0.025971,0.033249,0.038446,0.030885,0.036014,0.038446,0.030885,0.030804,0.026215,0.03258,0.023441,0.025461,0.025684,0.023967,0.027985,0.0147,0.023213,0.008269,0.017918,0.018384,0.023369,5
0.033917,0.033542,0.039923,0.039923,0.039923,0.024315,0.025335,0.018146,0.029832,0.036493,0.025507,0.030667,0.018178,0.039537,0.014807,0.023331,0.016237,0.033306,0.029345,0.021809,0.022096,0.027596,0.039923,0.039923,0.039923,0.026372,0.025359,0.029552,0.011969,0.014923,0.007157,0.039923,0.025423,0.031504,0.015682,0.028604,6
0.037133,0.029248,0.021272,0.021898,0.02346,0.027848,0.034936,0.034145,0.037133,0.03333,0.034473,0.029124,0.017245,0.033928,0.021238,0.014607,0.013573,0.021844,0.036596,0.026014,0.018973,0.021512,0.029039,0.03035,0.034703,0.037133,0.037133,0.026023,0.0148,0.010242,0.011437,0.032509,0.035706,0.037133,0.037133,0.037133,4
0.015497,0.017838,0.022333,0.028421,0.042836,0.042836,0.042836,0.042836,0.023152,0.017418,0.025091,0.022921,0.023824,0.034156,0.02891,0.026487,0.019934,0.016819,0.033503,0.042836,0.042836,0.042836,0.042836,0.031118,0.023828,0.012838,0.01468,0.018026,0.025121,0.030699,0.031502,0.039252,0.01952,0.017474,0.018572,0.018375,6
0.020033,0.018773,0.024175,0.037769,0.040715,0.040715,0.040715,0.030337,0.025207,0.023409,0.022804,0.022908,0.017023,0.0335,0.029421,0.027783,0.02422,0.029042,0.019523,0.0311,0.040715,0.040715,0.040715,0.032191,0.018199,0.013165,0.015856,0.025288,0.027351,0.029613,0.029034,0.040715,0.027,0.018225,0.016846,0.025197,6
0.022276,0.021009,0.033656,0.042006,0.042006,0.042006,0.036682,0.023956,0.023489,0.021201,0.017619,0.023179,0.009937,0.027852,0.017417,0.026748,0.017334,0.019821,0.027431,0.0306,0.042006,0.042006,0.042006,0.042006,0.03761,0.026214,0.022765,0.027949,0.026345,0.02142,0.006622,0.027447,0.02621,0.033585,0.024286,0.025298,7
0.037535,0.022191,0.015776,0.01711,0.021919,0.015822,0.018994,0.038666,0.038666,0.038666,0.038666,0.027159,0.018036,0.01826,0.012765,0.014916,0.028262,0.038666,0.038666,0.038666,0.038666,0.038666,0.032287,0.017115,0.014074,0.023093,0.035821,0.034894,0.033484,0.022135,0.015202,0.022468,0.02534,0.030019,0.038666,0.038666,7
0.026454,0.041016,0.041016,0.041016,0.041016,0.029368,0.023367,0.021068,0.018568,0.036193,0.036,0.024957,0.023649,0.020485,0.020369,0.023724,0.028438,0.029674,0.015127,0.011925,0.013493,0.029095,0.035511,0.041016,0.041016,0.041016,0.030572,0.019082,0.015081,0.012401,0.014641,0.020173,0.032053,0.040692,0.037038,0.023695,7
0.031014,0.026335,0.028142,0.034364,0.034364,0.031568,0.027946,0.032004,0.034364,0.034364,0.030177,0.026216,0.026901,0.029213,0.019977,0.014234,0.015908,0.027685,0.031897,0.032684,0.032554,0.034364,0.032675,0.029173,0.024533,0.024646,0.028299,0.027287,0.019822,0.017329,0.021552,0.029292,0.025467,0.025783,0.028179,0.02969,6
0.025821,0.033979,0.041899,0.041899,0.041899,0.041899,0.019768,0.017416,0.021959,0.041224,0.041899,0.041899,0.024442,0.02007,0.013034,0.013299,0.013581,0.022695,0.032644,0.029057,0.020292,0.023241,0.041899,0.041899,0.027188,0.02406,0.024115,0.020358,0.01347,0.011359,0.010714,0.018065,0.02247,0.036689,0.041899,0.041899,4
0.027336,0.030041,0.033825,0.03803,0.03803,0.03803,0.03803,0.03803,0.034507,0.023785,0.019839,0.023134,0.02656,0.030432,0.02008,0.018712,0.020572,0.034419,0.021434,0.033078,0.03803,0.03803,0.03803,0.03803,0.036258,0.023078,0.016961,0.020165,0.016662,0.017892,0.020562,0.029605,0.01807,0.022755,0.019141,0.018821,6
