@relation Features
@ATTRIBUTE word0 NUMERIC
@ATTRIBUTE word1 NUMERIC
@ATTRIBUTE word2 NUMERIC
@ATTRIBUTE word3 NUMERIC
@ATTRIBUTE word4 NUMERIC
@ATTRIBUTE word5 NUMERIC
@ATTRIBUTE word6 NUMERIC
@ATTRIBUTE word7 NUMERIC
@ATTRIBUTE word8 NUMERIC
@ATTRIBUTE word9 NUMERIC
@ATTRIBUTE word10 NUMERIC
@ATTRIBUTE word11 NUMERIC
@ATTRIBUTE word12 NUMERIC
@ATTRIBUTE word13 NUMERIC
@ATTRIBUTE word14 NUMERIC
@ATTRIBUTE word15 NUMERIC
@ATTRIBUTE word16 NUMERIC
@ATTRIBUTE word17 NUMERIC
@ATTRIBUTE word18 NUMERIC
@ATTRIBUTE word19 NUMERIC
@ATTRIBUTE word20 NUMERIC
@ATTRIBUTE word21 NUMERIC
@ATTRIBUTE word22 NUMERIC
@ATTRIBUTE word23 NUMERIC
@ATTRIBUTE word24 NUMERIC
@ATTRIBUTE word25 NUMERIC
@ATTRIBUTE word26 NUMERIC
@ATTRIBUTE word27 NUMERIC
@ATTRIBUTE word28 NUMERIC
@ATTRIBUTE word29 NUMERIC
@ATTRIBUTE word30 NUMERIC
@ATTRIBUTE word31 NUMERIC
@ATTRIBUTE word32 NUMERIC
@ATTRIBUTE word33 NUMERIC
@ATTRIBUTE word34 NUMERIC
@ATTRIBUTE word35 NUMERIC
@ATTRIBUTE word36 NUMERIC
@ATTRIBUTE word37 NUMERIC
@ATTRIBUTE word38 NUMERIC
@ATTRIBUTE word39 NUMERIC
@ATTRIBUTE word40 NUMERIC
@ATTRIBUTE word41 NUMERIC
@ATTRIBUTE word42 NUMERIC
@ATTRIBUTE word43 NUMERIC
@ATTRIBUTE word44 NUMERIC
@ATTRIBUTE word45 NUMERIC
@ATTRIBUTE word46 NUMERIC
@ATTRIBUTE word47 NUMERIC
@ATTRIBUTE word48 NUMERIC
@ATTRIBUTE word49 NUMERIC
@ATTRIBUTE word50 NUMERIC
@ATTRIBUTE word51 NUMERIC
@ATTRIBUTE word52 NUMERIC
@ATTRIBUTE word53 NUMERIC
@ATTRIBUTE word54 NUMERIC
@ATTRIBUTE word55 NUMERIC
@ATTRIBUTE word56 NUMERIC
@ATTRIBUTE word57 NUMERIC
@ATTRIBUTE word58 NUMERIC
@ATTRIBUTE word59 NUMERIC
@ATTRIBUTE word60 NUMERIC
@ATTRIBUTE word61 NUMERIC
@ATTRIBUTE word62 NUMERIC
@ATTRIBUTE word63 NUMERIC
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10}
@Data
-0.002077,-0.002427,0.006799,0.00418,2.41E-4,-0.046254,0.020948,0.06019,0.003089,-0.013859,0.029558,0.024227,-8.81E-4,-0.002542,8.93E-4,0.00264,-0.056467,0.005654,0.061273,0.02535,-0.047374,0.001626,0.21121,0.138515,0.260689,-0.059455,0.418352,0.092997,-0.019154,0.004166,0.024154,0.010347,-0.048772,0.027582,0.050985,0.02762,-0.088138,0.224803,0.209706,0.524072,0.182224,0.147224,0.432256,0.166748,-0.035537,0.007694,0.045261,0.01068,-4.36E-4,-5.99E-4,5.0E-4,6.74E-4,-0.005683,0.034203,0.032539,0.03421,0.008316,0.021218,0.02917,0.02757,-0.00772,-0.00258,0.008046,0.003041,6
-4.89E-4,-0.006032,0.001607,0.010019,0.029227,-0.022525,0.033854,0.071875,-0.029438,0.047443,0.031761,0.057679,-8.27E-4,0.007185,0.001486,0.008081,-0.011994,-0.008938,0.035081,0.075806,0.107598,0.04142,0.546756,0.386481,0.2645,-0.091673,0.288777,0.183476,-0.007188,0.020125,0.007188,0.024476,0.033948,0.061846,0.036767,0.066868,0.054474,0.189321,0.189625,0.414535,0.12841,0.099211,0.137687,0.128208,-4.7E-5,-0.004242,6.42E-4,0.006951,0.002272,-3.21E-4,0.002272,3.21E-4,-0.001733,-0.002345,0.004813,0.002345,-0.001162,0.003431,0.002958,0.003431,-1.51E-4,6.44E-4,1.51E-4,6.44E-4,6
-0.010596,0.002444,0.010828,0.002959,0.035998,-0.008178,0.057646,0.020149,-0.006805,-0.001581,0.031192,0.017251,2.39E-4,-0.001013,0.003977,0.001343,-0.071869,0.001773,0.073553,0.013107,0.347878,0.064037,0.510705,0.099376,-0.182501,0.0434,0.360173,0.11939,0.006739,9.49E-4,0.013809,0.018649,-0.076508,-0.005563,0.076848,0.018548,0.227102,-0.012272,0.39783,0.133632,-0.116842,-0.15068,0.300406,0.171174,0.021672,7.26E-4,0.03038,0.022876,-0.005727,-0.002684,0.008565,0.007469,-0.016224,-0.006533,0.06387,0.044397,0.01334,0.02083,0.032162,0.031678,0.00219,0.001108,0.00409,0.002296,6
-0.00104,-0.002914,0.001505,0.003003,-0.011841,-0.015102,0.011841,0.015574,-0.018032,-0.001191,0.026935,0.009949,0.001345,-0.002269,0.002212,0.003143,-0.020956,0.001075,0.022018,0.023461,0.129062,-0.009676,0.433701,0.209806,-0.105867,0.126151,0.213324,0.138725,-0.007259,-7.4E-5,0.023673,0.015485,0.020075,-0.024439,0.020282,0.031719,0.189065,-0.098395,0.715845,0.138627,-0.040868,-0.018149,0.240627,0.07345,-0.024716,0.00313,0.025213,0.008089,-3.93E-4,-8.86E-4,0.002671,0.001929,0.031672,0.012087,0.072016,0.022129,-0.007612,-0.015188,0.038258,0.016051,-0.001501,-0.003296,0.001633,0.003296,5
-2.85E-4,4.26E-4,3.97E-4,4.65E-4,-0.020595,0.005689,0.020941,0.008676,0.004108,-0.010701,0.023417,0.017662,6.14E-4,1.6E-5,7.4E-4,0.001517,-0.016379,-0.004946,0.017751,0.005734,-0.188454,-0.112623,0.188454,0.112623,0.212146,-0.077978,0.453668,0.141862,-0.003418,0.01171,0.006663,0.012524,-0.024839,-0.008086,0.025187,0.008098,-0.295878,-0.084622,0.296217,0.090825,0.407017,0.078452,0.483287,0.115601,-0.013079,-0.013725,0.013179,0.0155,-0.001975,-2.5E-5,0.001976,9.48E-4,-0.033904,0.008994,0.045342,0.013172,0.058059,0.015492,0.067952,0.017281,-0.003095,-4.0E-5,0.003595,8.8E-4,6
1.07E-4,-0.001636,0.001743,0.001903,-0.028278,-7.43E-4,0.030582,0.010801,0.018315,-0.002229,0.024492,0.016586,5.18E-4,0.001201,5.22E-4,0.001221,0.023958,3.77E-4,0.024749,0.006554,-0.285248,-0.186731,0.440068,0.201626,0.256157,-0.025689,0.256157,0.046085,0.013284,0.005378,0.013284,0.007033,0.018963,0.010811,0.019799,0.01598,-0.19666,0.011278,0.560488,0.141397,0.247603,0.044665,0.247603,0.050463,0.010013,0.00384,0.011542,0.0044,4.16E-4,-0.001231,6.7E-4,0.001544,-0.011398,0.021935,0.081367,0.025073,0.022616,0.012425,0.022616,0.012698,7.3E-5,6.6E-5,0.00112,4.75E-4,6
4.43E-4,0.007227,8.45E-4,0.008626,-0.002853,-0.016463,0.023747,0.030224,0.002171,-0.001314,0.026664,0.022834,0.002913,-0.003894,0.003609,0.005146,-0.00523,-0.007918,0.006725,0.007918,0.143633,-0.015779,0.373005,0.181315,-0.317814,-0.004,0.501568,0.193011,0.090973,-0.016854,0.094346,0.03843,-0.017235,-0.004246,0.017381,0.006681,0.179816,-0.089716,0.315688,0.098368,-0.163423,0.02121,0.388979,0.230448,0.043985,0.030766,0.069142,0.04948,-0.00303,0.002072,0.00303,0.002072,-0.007217,0.007031,0.019674,0.019887,0.025383,-0.016773,0.026369,0.018539,-0.001459,-0.001008,0.001872,0.002152,6
-7.25E-4,2.75E-4,0.001208,9.34E-4,-0.041991,-0.015366,0.042912,0.016838,0.024212,0.033381,0.053493,0.04816,5.25E-4,-3.31E-4,5.26E-4,6.84E-4,-0.007772,-0.002097,0.008317,0.00405,-0.189098,-0.039202,0.342054,0.088543,0.207588,-0.020586,0.238663,0.163999,-0.003621,0.008015,0.003679,0.01468,4.6E-5,-0.011895,0.00838,0.011895,-0.384083,0.043591,0.390465,0.076173,0.432544,0.009348,0.437677,0.09417,-0.004989,-0.004618,0.005128,0.010697,0.00257,-4.87E-4,0.00276,0.001084,-0.013263,0.014722,0.015082,0.023245,0.010353,0.002736,0.027371,0.033802,4.66E-4,5.3E-4,4.96E-4,0.002449,5
-0.009453,-0.001219,0.009453,0.002034,0.047486,-3.39E-4,0.076271,0.010485,0.012533,-0.004776,0.014459,0.005674,-0.002766,-1.02E-4,0.003517,0.00112,-0.059401,0.027376,0.059503,0.028753,0.272598,0.093531,0.640687,0.122029,0.028658,0.0376,0.073502,0.050825,-0.015302,0.001038,0.021058,0.00591,-0.01747,-0.012334,0.01747,0.016773,0.080307,-0.03201,0.622941,0.180427,0.086682,-0.024261,0.115663,0.070698,-0.008221,0.006068,0.022075,0.008882,-0.002505,0.001727,0.002511,0.001727,-0.01403,0.037731,0.027718,0.037731,0.029036,-0.015797,0.029785,0.03262,0.002804,0.002275,0.002804,0.003275,7
-3.67E-4,-0.001365,3.7E-4,0.001365,-0.013316,-0.024981,0.018661,0.025,0.028385,-0.009041,0.029385,0.010638,-5.29E-4,-0.00117,7.31E-4,0.001237,0.003376,-7.1E-4,0.004277,0.004813,-0.288293,0.03433,0.422687,0.116724,0.356097,-0.055178,0.405482,0.08979,-9.5E-5,-0.009578,0.005248,0.009578,0.001746,-0.001091,0.002391,0.004648,-0.221102,0.100805,0.32636,0.189209,0.230703,0.091509,0.349762,0.171932,0.004131,-0.001931,0.007872,0.004616,-3.84E-4,-0.002314,3.84E-4,0.002314,0.004709,-0.020912,0.006102,0.020912,-0.003251,-0.023725,0.008561,0.023777,0.004202,-2.45E-4,0.004434,0.001148,6
