@relation Features_predicted

@attribute word0 numeric
@attribute word1 numeric
@attribute word2 numeric
@attribute word3 numeric
@attribute word4 numeric
@attribute word5 numeric
@attribute word6 numeric
@attribute word7 numeric
@attribute word8 numeric
@attribute word9 numeric
@attribute word10 numeric
@attribute word11 numeric
@attribute word12 numeric
@attribute word13 numeric
@attribute word14 numeric
@attribute word15 numeric
@attribute word16 numeric
@attribute word17 numeric
@attribute word18 numeric
@attribute word19 numeric
@attribute word20 numeric
@attribute word21 numeric
@attribute word22 numeric
@attribute word23 numeric
@attribute word24 numeric
@attribute word25 numeric
@attribute word26 numeric
@attribute word27 numeric
@attribute word28 numeric
@attribute word29 numeric
@attribute word30 numeric
@attribute word31 numeric
@attribute word32 numeric
@attribute word33 numeric
@attribute word34 numeric
@attribute word35 numeric
@attribute word36 numeric
@attribute word37 numeric
@attribute word38 numeric
@attribute word39 numeric
@attribute word40 numeric
@attribute word41 numeric
@attribute word42 numeric
@attribute word43 numeric
@attribute word44 numeric
@attribute word45 numeric
@attribute word46 numeric
@attribute word47 numeric
@attribute word48 numeric
@attribute word49 numeric
@attribute word50 numeric
@attribute word51 numeric
@attribute word52 numeric
@attribute word53 numeric
@attribute word54 numeric
@attribute word55 numeric
@attribute word56 numeric
@attribute word57 numeric
@attribute word58 numeric
@attribute word59 numeric
@attribute word60 numeric
@attribute word61 numeric
@attribute word62 numeric
@attribute word63 numeric
@attribute predictedclass {1,2,3,4,5,6,7,8,9,10}
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
-0.000406,-0.007518,0.000905,0.008094,0.005426,-0.004658,0.018207,0.034438,0.015296,-0.02528,0.01625,0.026447,0.003319,-0.002103,0.003333,0.002181,-0.044967,0.053436,0.088604,0.053821,0.318658,0.026477,0.497654,0.129978,-0.18988,0.045275,0.32577,0.139855,0.024049,-0.013712,0.024247,0.028719,-0.024257,-0.025792,0.047474,0.090569,0.289423,0.063788,0.372455,0.237969,-0.160649,0.114012,0.226468,0.243707,0.015626,0.018396,0.021787,0.032778,0.000428,0.000496,0.000506,0.00219,0.005781,0.016535,0.006169,0.031994,-0.00046,0.005833,0.003712,0.010388,-0.000052,0.000994,0.000705,0.001301,7,6
-0.006905,-0.002291,0.007093,0.002337,0.013978,-0.035094,0.033731,0.044396,0.04059,-0.013296,0.040825,0.013927,0.000059,0.00009,0.000231,0.000189,-0.056578,0.009866,0.057233,0.012164,-0.049463,0.037227,0.10863,0.066775,0.454897,-0.046426,0.455258,0.070479,-0.000521,-0.000703,0.001307,0.000918,-0.020225,0.012034,0.021949,0.012305,-0.147708,0.1719,0.276954,0.276387,0.373359,0.026827,0.386234,0.195239,0.001966,0.000332,0.003755,0.002729,0.000243,-0.000013,0.000318,0.000137,-0.017029,0.042985,0.017507,0.043551,0.02052,0.044666,0.032446,0.051401,0.000114,-0.000973,0.000496,0.000979,7,6
0.002193,-0.000587,0.002193,0.000967,0.008918,-0.012561,0.008918,0.01309,0.016077,-0.02058,0.016077,0.02116,-0.000276,-0.000917,0.000816,0.000975,0.003851,-0.025641,0.025763,0.031336,0.10893,-0.302501,0.139168,0.368093,0.220454,-0.107978,0.220899,0.144087,0.003893,-0.006432,0.012284,0.007035,-0.028818,0.027532,0.030392,0.027532,0.139638,0.070273,0.289137,0.260924,0.220522,-0.102036,0.449883,0.399177,0.011846,-0.038881,0.023352,0.039989,-0.000564,-0.000785,0.000654,0.000898,-0.012315,0.02076,0.013229,0.026645,-0.000441,0.030652,0.00686,0.032572,0.000934,0.000091,0.0012,0.001481,7,6
-0.002631,-0.001712,0.003151,0.005318,0.00375,-0.038124,0.016417,0.042879,-0.000956,-0.006673,0.009269,0.021324,0.00113,-0.001324,0.00118,0.001497,-0.014647,-0.018569,0.033868,0.036748,0.01529,-0.033726,0.169012,0.226502,0.351535,-0.048569,0.494054,0.18747,-0.009229,0.002315,0.022649,0.016199,-0.016334,0.022102,0.045031,0.039475,-0.017311,0.026654,0.219337,0.21661,0.274176,-0.087785,0.42886,0.360236,-0.012618,-0.026756,0.025101,0.045224,-0.001036,0.000541,0.001223,0.003967,-0.00537,0.019824,0.012092,0.037564,-0.00058,0.033704,0.015881,0.039231,0.000874,0.002905,0.002824,0.002988,5,6
-0.000125,0.002104,0.001503,0.002469,-0.018963,-0.013206,0.018963,0.025253,-0.004912,-0.015968,0.010906,0.023908,-0.002142,-0.001102,0.002146,0.001242,-0.04306,-0.02621,0.071362,0.114005,0.007459,-0.28273,0.160168,0.353121,0.215719,-0.09084,0.455196,0.162554,-0.0036,-0.020802,0.011612,0.022918,-0.049771,-0.020935,0.146658,0.089936,0.076982,0.018144,0.158272,0.144742,0.082822,-0.178615,0.452885,0.338259,0.01761,-0.004791,0.0279,0.027169,-0.004937,0.00755,0.005045,0.008763,-0.008092,0.049737,0.011601,0.054236,0.008239,0.053593,0.016673,0.054306,0.003996,0.006274,0.00427,0.006331,5,6
0.000314,0.000403,0.000464,0.000695,-0.04853,-0.0755,0.049252,0.078599,0.023446,-0.060165,0.032567,0.067147,-0.002582,-0.00039,0.005953,0.004484,-0.064614,-0.053251,0.065987,0.05364,-0.117944,-0.183669,0.157452,0.237138,0.271217,-0.115864,0.295101,0.215994,-0.030705,-0.031467,0.074902,0.033148,-0.036252,0.007673,0.045607,0.018958,-0.124184,0.113153,0.126264,0.128847,0.147696,-0.044687,0.506397,0.49159,0.015701,0.014035,0.069706,0.045156,-0.00875,0.00191,0.010051,0.00617,-0.011964,-0.013776,0.018289,0.039793,0.022851,0.032291,0.0345,0.046219,0.00447,0.003483,0.004572,0.003834,5,6
-0.004213,0.001165,0.006343,0.00175,-0.017824,-0.02924,0.047996,0.077726,0.033761,-0.018648,0.039626,0.023532,-0.001363,-0.000351,0.001558,0.000564,-0.063141,-0.023561,0.06842,0.026612,-0.099458,-0.182545,0.268499,0.500719,0.355433,-0.051489,0.383728,0.110207,-0.022601,-0.003993,0.024647,0.005102,-0.046531,0.000392,0.048628,0.013,-0.018043,0.08482,0.068438,0.103455,0.348325,0.057827,0.389751,0.109592,-0.032188,-0.011531,0.034184,0.01183,-0.003137,0.000236,0.003137,0.001044,0.005881,0.005449,0.014571,0.014088,0.020373,0.00144,0.0384,0.015272,-0.00252,-0.001174,0.002566,0.001174,5,6
-0.001231,-0.002061,0.001579,0.002119,0.006925,-0.008532,0.013981,0.011866,0.016049,-0.022134,0.01715,0.023463,0.002782,-0.00224,0.003077,0.003525,0.004657,-0.008061,0.009071,0.014491,-0.085344,-0.3121,0.257628,0.33806,0.13901,-0.119702,0.197068,0.251529,0.012656,-0.03341,0.018863,0.035938,-0.046433,-0.003733,0.047741,0.029775,0.015185,-0.007937,0.363648,0.371107,0.328185,0.081392,0.383238,0.171294,-0.017637,0.023789,0.02971,0.02665,-0.005263,0.001195,0.006827,0.003028,0.020738,0.018847,0.035979,0.031047,0.024143,0.015865,0.025521,0.016513,0.001797,-0.00054,0.002105,0.000982,6,6
-0.002991,-0.000798,0.003625,0.001281,0.014851,-0.006293,0.043372,0.026564,0.016486,-0.01062,0.016486,0.014899,-0.000021,0.000051,0.000106,0.00026,-0.034536,-0.00052,0.036396,0.007798,0.036178,0.027896,0.410931,0.235794,0.134746,0.009833,0.316565,0.343632,-0.00311,0.000801,0.003874,0.002215,-0.001279,-0.000963,0.007236,0.007572,-0.047097,0.067866,0.364765,0.328659,0.147201,-0.005301,0.29717,0.414257,-0.003906,-0.001146,0.005867,0.004344,0.000203,0.001542,0.000315,0.001542,-0.005936,0.004768,0.006824,0.009065,0.01086,0.00322,0.011187,0.019985,0.000187,-0.001025,0.001033,0.002028,6,6
0.002756,-0.003914,0.004075,0.00679,-0.009126,-0.013863,0.031122,0.022646,0.025753,-0.013008,0.025825,0.014011,-0.000063,-0.001206,0.001038,0.001206,0.015957,-0.026966,0.031216,0.03458,0.033456,-0.226571,0.551393,0.23278,0.274189,-0.08909,0.294987,0.08909,-0.01266,-0.012951,0.01267,0.012951,-0.022824,0.001218,0.031889,0.022291,0.154953,-0.021443,0.333697,0.182965,0.290453,0.068656,0.343119,0.113586,-0.017634,-0.021275,0.020351,0.021311,0.003001,0.006239,0.004894,0.0077,0.044029,0.041714,0.055963,0.043176,-0.02355,-0.016849,0.030604,0.02434,0.000612,-0.001915,0.00445,0.005459,4,6
0.000043,0.002783,0.003579,0.00378,-0.00508,0.014007,0.039579,0.040605,0.026041,-0.017357,0.029776,0.017588,-0.000062,0.000062,0.000468,0.000987,-0.015427,-0.02627,0.052613,0.043282,-0.219515,-0.289684,0.268594,0.507455,0.24021,-0.046266,0.269856,0.129931,0.005471,-0.00753,0.007966,0.007795,-0.067796,-0.005357,0.075875,0.027851,0.01901,0.07693,0.235781,0.271908,0.246914,0.027603,0.356235,0.163901,0.01493,-0.000972,0.01493,0.003345,-0.003073,0.00495,0.005066,0.005369,-0.023614,0.061248,0.026314,0.066035,0.029622,0.015444,0.054166,0.028953,0.002365,0.000733,0.002365,0.000733,6,6
-0.002733,-0.001528,0.002801,0.001611,-0.009583,-0.066484,0.031541,0.067721,0.023613,-0.019186,0.028938,0.020848,0.000033,0.000694,0.000038,0.000901,-0.060991,-0.000465,0.060991,0.009728,-0.103657,-0.013024,0.402644,0.193547,0.324352,-0.066122,0.328915,0.077396,-0.000143,0.002409,0.000449,0.003896,-0.035854,0.008364,0.035882,0.008463,-0.153587,0.237213,0.249621,0.450226,0.23903,0.120673,0.318033,0.148635,-0.002424,-0.002619,0.002424,0.003901,-0.002222,0.000434,0.002222,0.000492,-0.004956,0.023671,0.031883,0.027414,0.012574,0.013796,0.019425,0.015325,-0.000949,-0.000771,0.000965,0.000899,6,6
-0.007134,-0.002827,0.007197,0.002932,0.01435,-0.03936,0.016221,0.03936,0.008239,0.002248,0.017923,0.00952,0.003444,-0.001072,0.003501,0.001283,-0.003187,0.014573,0.032826,0.033692,-0.189507,0.009132,0.258238,0.241757,0.316555,-0.061069,0.331794,0.093997,0.010988,0.003955,0.01601,0.005726,-0.043774,0.009605,0.044289,0.020762,-0.255084,0.128976,0.455471,0.230723,0.350227,0.053267,0.350227,0.092192,0.010326,0.005341,0.010326,0.005418,-0.002235,0.001304,0.00281,0.001953,-0.015059,0.021715,0.036998,0.043992,0.02181,0.011444,0.02181,0.011444,0.000758,0.000532,0.000758,0.000532,5,6
-0.005219,-0.004785,0.00576,0.009228,-0.017572,-0.018475,0.01826,0.039749,0.002616,-0.00409,0.01014,0.010143,0.005123,-0.002431,0.005451,0.002688,-0.01991,-0.008577,0.042325,0.01917,-0.034462,-0.025886,0.048465,0.062359,0.113462,0.229536,0.450094,0.296419,0.023105,-0.005685,0.042504,0.019283,-0.020452,0.029621,0.038301,0.040313,-0.109597,0.092115,0.15006,0.202299,0.218759,-0.221501,0.533744,0.29325,-0.01333,-0.004159,0.052182,0.012933,0.002111,0.003463,0.00246,0.003688,-0.023441,0.114081,0.033234,0.120542,-0.01186,0.135765,0.012362,0.141182,0.000267,0.013247,0.003099,0.014297,6,6
-0.005106,-0.006106,0.005107,0.006107,0.013459,-0.04571,0.02336,0.046924,0.015128,-0.010934,0.017797,0.010934,-0.001063,-0.001301,0.001233,0.001301,-0.070967,-0.001713,0.072106,0.041085,0.104998,0.046019,0.352728,0.307604,0.320111,-0.038334,0.345182,0.072294,-0.017593,-0.001402,0.020851,0.004951,-0.028827,0.034494,0.036636,0.042581,-0.106552,0.052385,0.295948,0.297179,0.36005,0.081526,0.410516,0.098247,-0.027955,-0.003255,0.036484,0.006811,-0.002536,-0.00302,0.004146,0.004688,0.023288,0.013371,0.063727,0.055134,0.014249,0.01178,0.024752,0.012976,-0.003981,0.000405,0.007137,0.000903,7,6
