@relation Features_predicted

@attribute word0 numeric
@attribute word1 numeric
@attribute word2 numeric
@attribute word3 numeric
@attribute word4 numeric
@attribute word5 numeric
@attribute word6 numeric
@attribute word7 numeric
@attribute word8 numeric
@attribute word9 numeric
@attribute word10 numeric
@attribute word11 numeric
@attribute word12 numeric
@attribute word13 numeric
@attribute word14 numeric
@attribute word15 numeric
@attribute word16 numeric
@attribute word17 numeric
@attribute word18 numeric
@attribute word19 numeric
@attribute word20 numeric
@attribute word21 numeric
@attribute word22 numeric
@attribute word23 numeric
@attribute word24 numeric
@attribute word25 numeric
@attribute word26 numeric
@attribute word27 numeric
@attribute word28 numeric
@attribute word29 numeric
@attribute word30 numeric
@attribute word31 numeric
@attribute word32 numeric
@attribute word33 numeric
@attribute word34 numeric
@attribute word35 numeric
@attribute word36 numeric
@attribute word37 numeric
@attribute word38 numeric
@attribute word39 numeric
@attribute word40 numeric
@attribute word41 numeric
@attribute word42 numeric
@attribute word43 numeric
@attribute word44 numeric
@attribute word45 numeric
@attribute word46 numeric
@attribute word47 numeric
@attribute word48 numeric
@attribute word49 numeric
@attribute word50 numeric
@attribute word51 numeric
@attribute word52 numeric
@attribute word53 numeric
@attribute word54 numeric
@attribute word55 numeric
@attribute word56 numeric
@attribute word57 numeric
@attribute word58 numeric
@attribute word59 numeric
@attribute word60 numeric
@attribute word61 numeric
@attribute word62 numeric
@attribute word63 numeric
@attribute predictedclass {1,2,3,4,5,6,7,8,9,10}
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
-0.003363,-0.002907,0.005899,0.003134,0.031091,-0.055848,0.033608,0.058005,0.023518,-0.012809,0.023518,0.013717,0.000043,0.000072,0.000043,0.000072,-0.022133,0.005725,0.041102,0.013227,-0.024766,0.07572,0.18056,0.169247,0.449405,-0.049816,0.449405,0.071864,-0.000113,0.001518,0.00096,0.001613,-0.04456,0.018084,0.046027,0.033145,0.036075,0.123651,0.402308,0.34219,0.274727,0.080893,0.313457,0.140809,0.000748,-0.001145,0.00205,0.001841,0.001757,0.00426,0.001836,0.004544,0.002285,0.047674,0.016882,0.048965,0.024377,0.019695,0.025552,0.022728,0.000477,-0.000141,0.000477,0.000209,6,6
0.000004,-0.000295,0.00016,0.000394,-0.010445,-0.022085,0.010445,0.022266,0.008681,-0.013258,0.008857,0.014703,-0.000356,0.000166,0.000356,0.000287,-0.011763,-0.005108,0.011801,0.006216,0.07169,-0.068084,0.583819,0.255924,0.086466,0.036472,0.09476,0.064693,-0.001157,0.00291,0.002145,0.003127,-0.093999,-0.064118,0.094091,0.06449,0.369003,-0.085854,0.560761,0.209354,0.085075,-0.066597,0.088629,0.068108,0.002118,0.000982,0.003452,0.002053,-0.010382,-0.000494,0.01235,0.003878,0.052565,0.016432,0.059058,0.018424,0.017826,0.00488,0.017826,0.006146,0.000579,0.000005,0.000651,0.000179,6,6
-0.001564,-0.001623,0.001623,0.001623,-0.001575,-0.012329,0.003212,0.012499,0.001495,-0.004529,0.002612,0.004868,-0.000637,-0.000183,0.000637,0.000183,-0.010711,-0.02059,0.012814,0.022653,-0.02015,-0.140998,0.055846,0.160641,0.089241,-0.181974,0.099735,0.181974,0.004232,-0.003599,0.006355,0.007073,0.004694,0.028814,0.008749,0.028943,-0.389656,-0.101169,0.411001,0.248699,0.445396,0.0707,0.445396,0.193046,0.005007,0.013321,0.006681,0.014815,-0.002595,-0.002045,0.003123,0.002268,-0.06142,-0.034757,0.075319,0.04213,0.094836,-0.006603,0.094836,0.018574,0.000833,-0.000966,0.000841,0.001026,7,6
-0.003794,0.000287,0.003835,0.001591,-0.001865,-0.030229,0.009024,0.030667,0.012111,-0.024118,0.012227,0.024118,0.002422,-0.000239,0.002422,0.000786,-0.073041,-0.063959,0.073041,0.066584,0.232039,0.011582,0.34866,0.213467,-0.031914,0.168585,0.13004,0.23139,0.028668,-0.012523,0.028668,0.01263,-0.077892,0.008168,0.078777,0.035663,0.51877,0.026899,0.568299,0.081659,-0.007063,0.096748,0.103339,0.107722,-0.003288,0.013805,0.022875,0.017371,-0.005546,-0.001965,0.006503,0.003008,0.061872,0.013435,0.061872,0.015127,-0.001137,-0.006811,0.015639,0.011109,-0.000616,-0.00292,0.002527,0.003644,5,6
-0.009453,-0.001219,0.009453,0.002034,0.047486,-0.000339,0.076271,0.010485,0.012533,-0.004776,0.014459,0.005674,-0.002766,-0.000102,0.003517,0.00112,-0.059401,0.027376,0.059503,0.028753,0.272598,0.093531,0.640687,0.122029,0.028658,0.0376,0.073502,0.050825,-0.015302,0.001038,0.021058,0.00591,-0.01747,-0.012334,0.01747,0.016773,0.080307,-0.03201,0.622941,0.180427,0.086682,-0.024261,0.115663,0.070698,-0.008221,0.006068,0.022075,0.008882,-0.002505,0.001727,0.002511,0.001727,-0.01403,0.037731,0.027718,0.037731,0.029036,-0.015797,0.029785,0.03262,0.002804,0.002275,0.002804,0.003275,5,6
-0.007227,-0.001758,0.007227,0.002508,0.048504,0.014309,0.090737,0.021297,-0.019254,0.012235,0.023265,0.01609,0.000609,0.001091,0.003664,0.001232,-0.021283,0.021922,0.021283,0.021922,-0.004618,0.069523,0.470418,0.223341,0.098738,-0.008468,0.171241,0.118128,-0.014166,0.010424,0.034447,0.011882,-0.00232,0.000806,0.00232,0.002218,-0.385804,0.21449,0.385804,0.217849,0.310916,0.02827,0.393908,0.096493,0.003348,0.008708,0.018105,0.008796,-0.000151,-0.000216,0.000151,0.000322,-0.017504,0.008266,0.017504,0.008389,-0.002439,0.006662,0.011893,0.011126,0.000482,-0.000385,0.000757,0.000613,7,6
-0.010017,-0.001267,0.010058,0.001344,0.008279,-0.000909,0.045838,0.011327,-0.020797,-0.008023,0.031286,0.016093,-0.009969,0.000402,0.01049,0.002133,-0.089204,-0.012776,0.089288,0.012776,0.244872,0.004276,0.403309,0.152158,-0.237869,0.068417,0.243507,0.113474,-0.059781,0.002499,0.062733,0.009417,-0.089597,-0.008632,0.089597,0.015616,0.33708,-0.044999,0.480749,0.108137,-0.2947,-0.052193,0.2947,0.135986,-0.045412,-0.010321,0.08937,0.017389,-0.011901,0.000335,0.011901,0.001074,0.047502,-0.012536,0.079751,0.014409,-0.032723,0.006155,0.039376,0.00903,-0.006823,0.001297,0.013916,0.002918,5,6
-0.002287,-0.001198,0.002288,0.001262,-0.006135,0.004274,0.023431,0.020063,0.011313,-0.007656,0.070536,0.014008,0.000654,0.000557,0.000654,0.000672,-0.013361,0.005728,0.023554,0.007417,-0.228172,-0.080932,0.310769,0.106887,0.306108,0.001933,0.478907,0.10425,-0.024602,-0.035144,0.025578,0.035144,-0.010782,0.01053,0.013613,0.013543,-0.288625,0.135612,0.290103,0.138702,0.279701,0.011844,0.436647,0.078575,-0.049693,0.003735,0.050269,0.0083,0.001063,-0.00074,0.001265,0.001232,-0.004123,-0.001212,0.008557,0.007659,-0.006535,0.022937,0.032822,0.025515,-0.00186,0.006731,0.002592,0.006731,6,5
-0.003317,0.001564,0.003317,0.002187,0.007934,0.021057,0.008437,0.021057,0.014373,0.008941,0.014373,0.008941,0.000122,0.00067,0.000141,0.00067,-0.005399,0.007411,0.006366,0.009175,-0.285258,-0.127367,0.288876,0.145679,0.346246,-0.10908,0.347305,0.132565,0.000507,0.004152,0.00148,0.011244,-0.015942,0.00287,0.016134,0.004715,-0.258213,0.097816,0.283321,0.146774,0.38949,0.143797,0.390132,0.146987,0.00095,0.004793,0.001429,0.00895,-0.001785,0.000214,0.001971,0.00022,0.001366,0.003375,0.020069,0.004449,0.014374,-0.000521,0.015147,0.001545,-0.000023,0.00001,0.000023,0.00001,6,5
-0.004054,0.005183,0.004101,0.005183,0.017536,0.010684,0.021533,0.010701,0.013253,0.006242,0.013253,0.006242,0.000626,0.001079,0.000626,0.001085,0.0043,0.006158,0.006881,0.007215,-0.24317,-0.063294,0.337292,0.202814,0.354082,-0.188216,0.354082,0.195225,-0.002686,0.000784,0.003173,0.003459,0.004936,0.002304,0.004936,0.00287,-0.262457,0.166969,0.262779,0.169469,0.303326,0.185109,0.308918,0.198561,-0.004289,-0.003753,0.004289,0.004308,-0.000022,-0.000121,0.000283,0.000237,-0.005632,0.001458,0.005828,0.003049,0.004397,-0.002916,0.006403,0.005481,0.000381,-0.000209,0.000558,0.000262,6,5
